random order num,Species,Stem,ID,unique,Diameter.wbark (mm),Fresh mass (g),Diameter.nobark (mm),Volume (g),Dry mass wood (g),Dry mass bark (g),Dry mass total (g),Notes
36,alli,3,k,alli3k,19.71,30.62,,,,,19.04,
1,anba,2,j,anba2j,12.5,7.27,,,,,,
2,anba,1,l,anba1l,15.79,16.34,,,,,,
3,anba,2,f,anba2f,15.77,16.5,,,,,,
4,anba,1,h,anba1h,15.09,14.38,,,,,,
5,anba,3,a,anba3a,10.51,6.55,,,,,,
6,anba,3,e,anba3e,12.14,6.23,,,,,,
7,anba,2,i,anba2i,18.53,20.89,,,,,,
8,anba,2,b,anba2b,12.85,8.7,,,,,,
9,anba,1,j,anba1j,11.75,9.36,,,,,,
10,anba,1,a,anba1a,14.68,12.81,,,,,,
11,anba,3,h,anba3h,18.81,12.13,,,,,,low mass
12,anba,1,e,anba1e,16.27,15.83,,,,,,
13,anba,3,i,anba3i,13.12,8.93,,,,,,
14,anba,2,k,anba2k,20.69,24.14,,,,,,
15,anba,3,b,anba3b,12.47,8.88,,,,,,
16,anba,3,l,anba3l,12.84,9.83,,,,,,
17,anba,2,a,anba2a,14.73,14.69,,,,,,
18,anba,3,j,anba3j,14.84,11.35,,,,,,
19,anba,3,d,anba3d,14.08,10.77,,,,,,
20,anba,3,f,anba3f,13.85,8.21,,,,,,
21,anba,2,c,anba2c,16.27,16.01,,,,,,
22,anba,2,e,anba2e,18.92,23.92,,,,,,
23,anba,3,g,anba3g,11.63,8.38,,,,,,
24,anba,2,d,anba2d,16.96,18.3,,,,,,
25,anba,2,l,anba2l,18.97,21.8,,,,,,
26,anba,1,g,anba1g,19.98,18.4,,,,,,
27,anba,3,c,anba3c,11.68,7.81,,,,,,
28,anba,1,c,anba1c,12.37,10.21,,,,,,
29,anba,1,f,anba1f,13.79,10.09,,,,,,
30,anba,1,b,anba1b,9.83,5.74,,,,,,
31,anba,2,g,anba2g,10.7,7.37,,,,,4.46,
32,anba,2,h,anba2h,14.54,14,,,,,7.35,
33,anba,3,k,anba3k,10.11,6.24,8.8,5.37,2.86,0.94,,
34,anba,1,d,anba1d,11.77,10.85,10.91,8.13,3.77,1.72,,
35,anba,1,i,anba1i,13.47,10.23,11.5,7.53,3.9,1.31,,
36,anba,1,k,anba1k,14.61,13.16,,,,,6.66,
1,baae,3,i,baae3i,11.39,8.63,,,,,,
2,baae,3,b,baae3b,17.63,16.63,,,,,,
