random order num,Species,Stem,ID,unique,Diameter.wbark (mm),Fresh mass (g),Diameter.nobark (mm),Volume (g),Dry mass wood (g),Dry mass bark (g),Dry mass total (g),Notes
24,isan,4,c,isan4c,10.5,9.23,,,,,,
25,isan,2,f,isan2f,9.55,6.8,,,,,,
26,isan,3,f,isan3f,11.01,7.83,,,,,,
27,isan,2,a,isan2a,9.48,6.64,,,,,,
28,isan,2,c,isan2c,11.4,8.66,,,,,,
29,isan,5,d,isan5d,10.99,11.09,,,,,,
30,isan,5,e,isan5e,16.23,19.38,,,,,,
31,isan,5,g,isan5g,10.83,8.81,9.6,5.99,3.89,1.12,,
32,isan,2,d,isan2d,8.84,5.99,,,,,3.85,
33,isan,1,h,isan1h,9.21,6.1,8,4.45,3.09,0.78,,
34,isan,4,a,isan4a,12.29,12.05,11.96,9.44,6.57,1.1,,
35,isan,1,g,isan1g,11.32,10.03,,,,,6.31,
36,isan,1,e,isan1e,9.57,7.69,,,,,4.82,
1,jasc,2,f,jasc2f,12.07,7.56,,,,,,
2,jasc,3,i,jasc3i,10.99,7.32,,,,,,
3,jasc,1,f,jasc1f,11.71,7.85,,,,,,
4,jasc,1,d,jasc1d,12.44,9.49,,,,,,
5,jasc,1,a,jasc1a,13.05,9.06,,,,,,
6,jasc,3,b,jasc3b,19.09,21.68,,,,,,
7,jasc,2,c,jasc2c,18.89,20.49,,,,,,
8,jasc,1,g,jasc1g,16.09,15.99,,,,,,
9,jasc,2,k,jasc2k,12.84,8.83,,,,,,
10,jasc,2,a,jasc2a,18.39,20.09,,,,,,
11,jasc,3,e,jasc3e,13.08,10.54,,,,,,
12,jasc,1,l,jasc1l,15.4,12.47,,,,,,
13,jasc,1,i,jasc1i,15.67,14.6,,,,,,
14,jasc,1,b,jasc1b,13.8,11.11,,,,,,
15,jasc,2,g,jasc2g,12.81,9.48,,,,,,
16,jasc,2,h,jasc2h,11.91,9.33,,,,,,
17,jasc,3,d,jasc3d,15.53,14.69,,,,,,
18,jasc,1,h,jasc1h,16.88,15.23,,,,,,
19,jasc,3,h,jasc3h,11.11,7.4,,,,,,
20,jasc,1,k,jasc1k,14.83,12.95,,,,,,
21,jasc,2,b,jasc2b,19.74,21.25,,,,,,
22,jasc,3,a,jasc3a,11.36,12.02,,,,,,
23,jasc,3,f,jasc3f,12.15,8.76,,,,,,
24,jasc,2,j,jasc2j,13.22,10.04,,,,,,
25,jasc,2,d,jasc2d,18.27,20.6,,,,,,
26,jasc,1,j,jasc1j,14.64,13.68,,,,,,
27,jasc,1,c,jasc1c,13.88,10.82,,,,,,
28,jasc,1,e,jasc1e,14.28,9.31,,,,,,
29,jasc,2,e,jasc2e,14.61,8.19,,,,,,
30,jasc,3,g,jasc3g,10.31,7.51,,,,,,
31,jasc,2,i,jasc2i,11.02,8.28,,,,,4.57,written as jaca
32,jasc,3,k,jasc3k,13.03,10.52,8.58,5.6,3.93,1.96,,
33,jasc,2,l,jasc2l,17.62,13.38,10.74,7.85,5.26,2.7,,
34,jasc,3,c,jasc3c,19.76,21.43,,,,,12.5,
35,jasc,3,j,jasc3j,11.24,7.25,7.43,3.88,2.68,1.37,,
36,jasc,3,l,jasc3l,11.68,8.17,,,,,4.55,
1,leer,3,a,leer3a,13.2,8.8,,,,,,
2,leer,6,c,leer6c,9.83,6,,,,,,
3,leer,8,f,leer8f,8.07,4.45,,,,,,
4,leer,9,b,leer9b,9.8,6.28,,,,,,
5,leer,1,c,leer1c,9.85,5.69,,,,,,
6,leer,10,c,leer10c,9.75,6.45,,,,,,
7,leer,8,d,leer8d,17.32,20.66,,,,,,
8,leer,8,a,leer8a,10.98,7.37,,,,,,
9,leer,5,a,leer5a,12.19,10.7,,,,,,
10,leer,8,e,leer8e,11.48,8.85,,,,,,
11,leer,10,d,leer10d,10.9,7.95,,,,,,
12,leer,6,a,leer6a,7.66,5.37,,,,,,
13,leer,5,b,leer5b,9.62,5.64,,,,,,
14,leer,1,a,leer1a,13.67,12.77,,,,,,
15,leer,9,c,leer9c,9.59,6.09,,,,,,
16,leer,7,f,leer7f,9.29,5.4,,,,,,
17,leer,7,c,leer7c,10.02,6.96,,,,,,
18,leer,7,e,leer7e,13.96,14.33,,,,,,
19,leer,8,b,leer8b,9.38,6.04,,,,,,
20,leer,6,b,leer6b,12.11,7.1,,,,,,
21,leer,4,a,leer4a,10.64,5.5,,,,,,
22,leer,4,b,leer4b,11.3,7.44,,,,,,
23,leer,10,a,leer10a,11.06,8.23,,,,,,
24,leer,7,b,leer7b,10.13,7.38,,,,,,
25,leer,10,e,leer10e,10.48,7.51,,,,,,
26,leer,7,d,leer7d,13.03,12.06,,,,,,
27,leer,10,b,leer10b,11.8,9.49,,,,,,
28,leer,8,c,leer8c,8.9,4.96,,,,,,
29,leer,1,e,leer1e,9.56,5.31,,,,,,
30,leer,9,d,leer9d,10.21,6.59,,,,,,
31,leer,1,d,leer1d,8.84,5.52,,,,,4.06,
32,leer,3,b,leer3b,12.66,7.54,12.39,6.71,5.07,0.58,,
33,leer,1,f,leer1f,14.17,10.46,,,,,7.75,
34,leer,7,a,leer7a,9.59,7.21,,,,,5.06,
35,leer,9,a,leer9a,11.09,8.47,10.41,6.98,5.42,0.94,,
36,leer,1,b,leer1b,12.19,10.51,11.01,9.28,6.52,1.12,,
1,lepa,1,c,lepa1c,11.38,8.25,,,,,,
2,lepa,3,a,lepa3a,11.01,9.32,,,,,,
3,lepa,2,c,lepa2c,13.93,13.55,,,,,,
4,lepa,2,f,lepa2f,13.86,13.22,,,,,,
5,lepa,1,j,lepa1j,12.81,12.32,,,,,,
6,lepa,3,i,lepa3i,18.34,28.9,,,,,,
7,lepa,3,e,lepa3e,9.74,7.78,,,,,,
8,lepa,2,j,lepa2j,9.45,7.12,,,,,,
9,lepa,1,b,lepa1b,12.12,9.83,,,,,,
10,lepa,3,d,lepa3d,10.56,7.77,,,,,,
11,lepa,1,a,lepa1a,16.05,18.02,,,,,,
12,lepa,3,h,lepa3h,18.2,19.26,,,,,,
13,lepa,3,f,lepa3f,11.3,10,,,,,,
14,lepa,1,g,lepa1g,20.85,24.61,,,,,,
15,lepa,1,l,lepa1l,11.55,10.52,,,,,,
16,lepa,2,e,lepa2e,16.58,11.92,,,,,,
17,lepa,2,g,lepa2g,8.99,8.49,,,,,,
18,lepa,2,k,lepa2k,13.15,9.7,,,,,,
19,lepa,1,e,lepa1e,10.16,7.4,,,,,,
20,lepa,3,b,lepa3b,18.47,23.95,,,,,,
21,lepa,2,h,lepa2h,16.58,19.44,,,,,,
22,lepa,3,k,lepa3k,20.97,24.33,,,,,,
23,lepa,1,f,lepa1f,20.34,25.74,,,,,,
24,lepa,1,h,lepa1h,20.1,25.32,,,,,,
25,lepa,2,d,lepa2d,10.84,8.69,,,,,,
26,lepa,2,b,lepa2b,14.92,16.79,,,,,,
27,lepa,3,c,lepa3c,11.04,9.8,,,,,,
28,lepa,3,g,lepa3g,9.87,7.25,,,,,,
29,lepa,3,l,lepa3l,13.7,13.8,,,,,,
30,lepa,2,i,lepa2i,13.41,11.27,,,,,,
31,lepa,2,a,lepa2a,16.37,15.93,13.86,10.08,7.03,2.88,,Some bark still on wood
32,lepa,2,l,lepa2l,13.82,14.21,,,,,8.57,
33,lepa,1,k,lepa1k,13.17,11.48,10.73,7.78,5.25,1.63,,Some bark still on wood
34,lepa,1,d,lepa1d,8.89,6.15,,,,,3.87,
35,lepa,1,i,lepa1i,19.12,25.92,15.21,16.59,11.13,5,,
36,lepa,3,j,lepa3j,14.34,15.03,,,,,8.93,
1,mede,3,g,mede3g,18.54,24.9,,,,,,
2,mede,1,a,mede1a,9.36,6.47,,,,,,
3,mede,1,i,mede1i,11.37,9.43,,,,,,
4,mede,1,c,mede1c,10.79,7.83,,,,,,
5,mede,3,k,mede3k,13.64,11.12,,,,,,
6,mede,3,f,mede3f,10.47,8.4,,,,,,
7,mede,1,b,mede1b,11.34,7.82,,,,,,
8,mede,1,e,mede1e,15.4,13.35,,,,,,
9,mede,1,j,mede1j,11.83,10.5,,,,,,
10,mede,2,i,mede2i,10.34,7.95,,,,,,
11,mede,2,a,mede2a,10.49,8.67,,,,,,
12,mede,1,g,mede1g,15.28,15.08,,,,,,
13,mede,2,c,mede2c,11.66,10.53,,,,,,
14,mede,3,h,mede3h,10.13,7.19,,,,,,
15,mede,2,h,mede2h,19.19,19.58,,,,,,
16,mede,2,e,mede2e,16.68,17.57,,,,,,
17,mede,1,d,mede1d,9.35,10.25,,,,,,
18,mede,2,d,mede2d,11.35,9.36,,,,,,
19,mede,1,f,mede1f,14.36,13.25,,,,,,
20,mede,3,j,mede3j,10.55,9.76,,,,,,
21,mede,1,k,mede1k,15.3,11.97,,,,,,
22,mede,3,b,mede3b,15.7,16.34,,,,,,
23,mede,3,i,mede3i,10.95,9.39,,,,,,
24,mede,2,l,mede2l,11.52,8.48,,,,,,
25,mede,3,a,mede3a,10.53,7.82,,,,,,
26,mede,1,l,mede1l,12.65,12.09,,,,,,
27,mede,2,g,mede2g,17.28,19.34,,,,,,
28,mede,3,d,mede3d,17.27,17.95,,,,,,
29,mede,2,f,mede2f,15.94,17.89,,,,,,
30,mede,3,l,mede3l,10.39,7.82,,,,,,
31,mede,2,j,mede2j,11.56,8.75,,,,,4.93,
32,mede,1,h,mede1h,15.26,14.94,11.59,9.68,5.71,1.87,,
33,mede,2,k,mede2k,13.08,9.94,9.95,7.16,3.8,1.85,,
34,mede,2,b,mede2b,12.27,10.46,9.58,7.06,4.28,1.29,,
35,mede,3,e,mede3e,22.22,26.11,,,,,13.89,
36,mede,3,c,mede3c,15.21,17.12,,,,,8.93,
1,olst,1,e,olst1e,11.81,11.44,,,,,,
2,olst,1,j,olst1j,18.53,25.8,,,,,,
3,olst,1,i,olst1i,18.21,24.43,,,,,,
4,olst,2,j,olst2j,14.14,15.81,,,,,,
5,olst,2,b,olst2b,16.56,18.96,,,,,,
6,olst,2,d,olst2d,15.56,17.96,,,,,,
7,olst,4,h,olst4h,9.5,7.82,,,,,,
8,olst,1,c,olst1c,13.6,15.52,,,,,,
9,olst,3,a,olst3a,11.04,8.61,,,,,,
10,olst,3,b,olst3b,10.43,7.54,,,,,,
11,olst,4,e,olst4e,11.64,10.21,,,,,,
12,olst,1,a,olst1a,10.06,8.27,,,,,,
13,olst,4,f,olst4f,10.93,10.32,,,,,,
14,olst,2,i,olst2i,11.54,10.37,,,,,,
15,olst,2,e,olst2e,15.05,17.67,,,,,,
16,olst,4,i,olst4i,9.77,7.73,,,,,,
17,olst,2,g,olst2g,11.06,8.52,,,,,,
18,olst,1,d,olst1d,15.11,18.02,,,,,,
19,olst,2,h,olst2h,17.22,21.86,,,,,,
20,olst,2,c,olst2c,16.32,19.95,,,,,,
21,olst,4,c,olst4c,12.12,11.36,,,,,,
22,olst,2,f,olst2f,16.23,19.14,,,,,,
23,olst,2,a,olst2a,10.67,8.33,,,,,,
24,olst,4,b,olst4b,14.04,14.64,,,,,,
25,olst,1,b,olst1b,12.35,10.62,,,,,,
26,olst,1,k,olst1k,13.24,14.04,,,,,,
27,olst,1,g,olst1g,15.04,18.21,,,,,,
28,olst,1,h,olst1h,15.71,19.49,,,,,,
29,olst,4,g,olst4g,10.76,9.17,,,,,,
30,olst,4,a,olst4a,12.34,9.85,,,,,,
31,olst,3,c,olst3c,10.17,7.6,9.78,6.33,4.02,0.73,,
32,olst,1,f,olst1f,15.72,19.62,14.6,16.03,9.95,1.28,,
33,olst,4,d,olst4d,11.33,9.38,10.19,7.53,4.95,0.77,,
1,peli,1,k,peli1k,22.03,23.66,,,,,,
2,peli,2,k,peli2k,15.1,17.83,,,,,,
3,peli,2,i,peli2i,16.41,17.51,,,,,,
4,peli,3,l,peli3l,13.81,13.89,,,,,,
5,peli,3,c,peli3c,11.83,10.66,,,,,,
6,peli,1,c,peli1c,11.85,10.49,,,,,,
7,peli,3,h,peli3h,12.35,11.71,,,,,,
8,peli,3,k,peli3k,12.79,12.07,,,,,,
9,peli,3,b,peli3b,13.23,12.74,,,,,,
10,peli,3,i,peli3i,16.13,19.81,,,,,,
11,peli,1,a,peli1a,21.23,22.79,,,,,,
12,peli,2,g,peli2g,13.61,14.78,,,,,,
13,peli,2,f,peli2f,16.52,17.57,,,,,,
14,peli,1,i,peli1i,11.94,10.75,,,,,,
15,peli,1,l,peli1l,18.93,25.81,,,,,,
16,peli,3,g,peli3g,13.37,12.78,,,,,,
17,peli,2,e,peli2e,14.8,16.15,,,,,,
18,peli,1,j,peli1j,17.44,25.66,,,,,,
19,peli,2,j,peli2j,15.02,15.11,,,,,,
20,peli,1,b,peli1b,21.33,22.9,,,,,,
21,peli,2,d,peli2d,12.35,10.95,,,,,,
22,peli,2,h,peli2h,13.28,14.64,,,,,,
23,peli,1,d,peli1d,17.4,19.73,,,,,,
24,peli,2,l,peli2l,14.07,16.06,,,,,,
25,peli,3,f,peli3f,12.01,11.01,,,,,,
26,peli,2,a,peli2a,11.56,11.43,,,,,,
27,peli,3,d,peli3d,10.17,8.58,,,,,,
28,peli,1,e,peli1e,15.54,13.46,,,,,,
29,peli,3,a,peli3a,13.78,16.28,,,,,,
30,peli,1,f,peli1f,18.39,24.58,,,,,,
31,peli,3,j,peli3j,15.44,17.86,,,,,8.6,
32,peli,1,g,peli1g,13.5,11.21,9.85,7.92,4.02,2.11,,
33,peli,1,h,peli1h,11.65,8.8,9.08,6,2.93,1.63,,
34,peli,2,b,peli2b,12.76,14.23,10.67,9.15,5.24,2.02,,
35,peli,3,e,peli3e,14.49,12.85,,,,,7.01,
36,peli,2,c,peli2c,12.43,12.19,,,,,6.25,
1,penu,1,d,penu1d,13.21,10.07,,,,,,
2,penu,1,c,penu1c,17.01,19.93,,,,,,
3,penu,3,c,penu3c,13.39,12.06,,,,,,
4,penu,2,h,penu2h,21.87,26.35,,,,,,
5,penu,2,j,penu2j,10.45,8.22,,,,,,
6,penu,5,d,penu5d,12.43,12.07,,,,,,
7,penu,1,b,penu1b,9.83,8.34,,,,,,
8,penu,1,a,penu1a,19.9,24.98,,,,,,
9,penu,2,n,penu2n,14.45,17.45,,,,,,
10,penu,4,c,penu4c,13.61,15.13,,,,,,
11,penu,2,i,penu2i,19.1,25.26,,,,,,
12,penu,2,d,penu2d,11.87,11.58,,,,,,
13,penu,3,g,penu3g,10.28,9.22,,,,,,
14,penu,2,m,penu2m,14.91,18.17,,,,,,
15,penu,4,d,penu4d,14.29,16.86,,,,,,
16,penu,2,a,penu2a,12.77,10.54,,,,,,
17,penu,2,c,penu2c,11.24,10.35,,,,,,
18,penu,5,a,penu5a,12.2,12.95,,,,,,
19,penu,3,b,penu3b,17.08,17.85,,,,,,
20,penu,2,f,penu2f,18.8,19.76,,,,,,
21,penu,2,g,penu2g,17.15,22.25,,,,,,
22,penu,3,d,penu3d,16.1,16.15,,,,,,
23,penu,3,h,penu3h,9.16,5.99,,,,,,
24,penu,3,e,penu3e,16.88,18.36,,,,,,
25,penu,2,b,penu2b,10.2,7.37,,,,,,
26,penu,5,b,penu5b,12.73,13.3,,,,,,
27,penu,1,e,penu1e,13.56,13.52,,,,,,
28,penu,3,i,penu3i,16.26,16.53,,,,,,
29,penu,2,k,penu2k,15.97,22.52,,,,,,
30,penu,3,f,penu3f,15.93,15.61,,,,,,
31,penu,2,l,penu2l,14.12,15.98,,,,,8.45,
32,penu,2,e,penu2e,11.26,11.65,9.94,9.1,5.26,0.85,,
33,penu,3,a,penu3a,15.46,16.73,14.13,13.79,7.94,1.39,,
34,penu,4,b,penu4b,11.04,10.65,,,,,5.78,
35,penu,5,c,penu5c,14.48,15.24,,,,,8.39,
36,penu,4,a,penu4a,12.22,15.12,10.97,11.23,7,1.33,,
1,pepu,1,e,pepu1e,19.97,30.5,,,,,,
2,pepu,1,a,pepu1a,18.76,27.54,,,,,,
3,pepu,3,j,pepu3j,21.27,32.35,,,,,,
4,pepu,1,f,pepu1f,20,30.82,,,,,,
5,pepu,2,f,pepu2f,18.44,25,,,,,,
6,pepu,1,b,pepu1b,18.42,25.89,,,,,,
7,pepu,3,i,pepu3i,20.08,28.9,,,,,,
8,pepu,3,l,pepu3l,11.23,9.06,,,,,,
9,pepu,1,k,pepu1k,11.63,11.39,,,,,,
10,pepu,1,g,pepu1g,19.28,27.14,,,,,,
11,pepu,3,a,pepu3a,17.51,22.26,,,,,,
12,pepu,2,a,pepu2a,16.33,21.2,,,,,,
13,pepu,1,i,pepu1i,10.45,10.77,,,,,,
14,pepu,1,c,pepu1c,18.9,27.62,,,,,,
15,pepu,1,d,pepu1d,19.52,29.29,,,,,,
16,pepu,2,h,pepu2h,18.84,28.67,,,,,,
17,pepu,3,g,pepu3g,20.76,30.37,,,,,,
18,pepu,3,b,pepu3b,17.77,23.33,,,,,,
19,pepu,3,f,pepu3f,19.97,27.73,,,,,,
20,pepu,2,b,pepu2b,16.45,24.59,,,,,,
21,pepu,3,d,pepu3d,19.12,27.1,,,,,,
22,pepu,2,g,pepu2g,17.93,24.44,,,,,,
23,pepu,2,i,pepu2i,17.83,24.92,,,,,,
24,pepu,1,l,pepu1l,12.07,12.56,,,,,,
25,pepu,2,d,pepu2d,18.2,25.73,,,,,,
26,pepu,2,e,pepu2e,17.09,22.6,,,,,,
27,pepu,3,e,pepu3e,17.3,22.04,,,,,,
28,pepu,1,h,pepu1h,18.44,26.9,,,,,,
29,pepu,2,l,pepu2l,11.94,10.92,,,,,,
30,pepu,2,j,pepu2j,11.69,11.16,,,,,,
31,pepu,3,h,pepu3h,21.31,32.15,17.63,20.66,13.55,4.73,,
32,pepu,3,k,pepu3k,10.64,9.08,7.79,4.69,2.99,1.97,,
33,pepu,2,c,pepu2c,15.36,19.95,,,,,10.54,
34,pepu,2,k,pepu2k,11.28,10.4,9.03,6.18,3.53,1.83,,
35,pepu,3,c,pepu3c,18.94,28.3,,,,,15.58,
36,pepu,1,j,pepu1j,11.77,10.89,,,,,5.77,
1,ripi,1,b,ripi1b,12.7,10.12,,,,,,
2,ripi,3,i,ripi3i,14.9,13.87,,,,,,
3,ripi,1,c,ripi1c,12.79,11.11,,,,,,
4,ripi,2,i,ripi2i,17.41,22.14,,,,,,
5,ripi,1,j,ripi1j,12.16,9.81,,,,,,
6,ripi,2,l,ripi2l,15.82,11.12,,,,,,
7,ripi,1,i,ripi1i,15.59,15.25,,,,,,
8,ripi,3,g,ripi3g,15.17,12.3,,,,,,
9,ripi,2,g,ripi2g,16.03,18.07,,,,,,
10,ripi,3,l,ripi3l,12.4,8.56,,,,,,
11,ripi,3,b,ripi3b,12.14,9.92,,,,,,
12,ripi,1,g,ripi1g,14.3,15.09,,,,,,
13,ripi,2,e,ripi2e,15.3,16.18,,,,,,
14,ripi,3,c,ripi3c,12.27,10.09,,,,,,
15,ripi,3,k,ripi3k,11.17,9.21,,,,,,
16,ripi,3,d,ripi3d,12.3,10.13,,,,,,
17,ripi,3,j,ripi3j,11.81,11.08,,,,,,
18,ripi,2,d,ripi2d,16.28,19.29,,,,,,
19,ripi,3,h,ripi3h,13.83,12.89,,,,,,
20,ripi,2,b,ripi2b,15.44,15.82,,,,,,
21,ripi,1,f,ripi1f,14.82,15.8,,,,,,
22,ripi,3,f,ripi3f,13.43,10.94,,,,,,
23,ripi,3,e,ripi3e,13.9,11.77,,,,,,
24,ripi,3,a,ripi3a,12.06,9.12,,,,,,
25,ripi,2,a,ripi2a,15.18,17.49,,,,,,
26,ripi,2,k,ripi2k,11.85,11.78,,,,,,
27,ripi,2,j,ripi2j,10.99,7.27,,,,,,
28,ripi,1,k,ripi1k,13.74,12.26,,,,,,
29,ripi,2,f,ripi2f,17.87,21.36,,,,,,
30,ripi,1,d,ripi1d,13.53,11.78,,,,,,
31,ripi,1,e,ripi1e,13.11,14.34,13.26,12.39,5.12,1.78,,
32,ripi,2,h,ripi2h,17.58,23.03,,,,,11.73,
33,ripi,1,l,ripi1l,10.81,6.82,9.33,5.11,2.32,1.06,,
34,ripi,1,a,ripi1a,12.48,10.3,,,,,5.19,
35,ripi,1,h,ripi1h,15.6,16.06,13.47,13.36,6.15,2.06,,
36,ripi,2,c,ripi2c,15.59,17.34,,,,,8.75,
37,basp,3,x,basp3x,9.51,6.18,,,,,4.14,
38,basp,3,y,basp3y,9.2,6.44,,,,,4.48,
39,basp,3,z,basp3z,11.04,7.1,,,,,,
