random order num,Species,Stem,ID,unique,Diameter (cm),Fresh mass (g),Dry mass (g),notes
8,ALLI,2,14,ALLI214,5.5,257.86,,
9,ALLI,2,4,ALLI24,7.1,391.08,,
10,ALLI,2,2,ALLI22,7.7,438.52,,
11,ALLI,3,13,ALLI313,6,309.34,,
12,ALLI,1,6,ALLI16,7.15,414.65,,
13,ALLI,2,11,ALLI211,6.1,310.91,,
14,ALLI,2,13,ALLI213,5.65,273.81,,
15,ALLI,1,13,ALLI113,6.3,335.13,,
16,ALLI,3,12,ALLI312,6.1,315.39,,
17,ALLI,3,11,ALLI311,6.35,340.14,,
18,ALLI,3,8,ALLI38,6.65,362.22,,
19,ALLI,3,4,ALLI34,7.7,457.27,,
20,ALLI,1,15,ALLI115,6,315.13,,
21,ALLI,1,12,ALLI112,6.3,338.05,,
22,ALLI,3,7,ALLI37,6.7,370.43,,
23,ALLI,1,7,ALLI17,7.2,415.91,,
24,ALLI,3,1,ALLI31,8.8,540.54,,
25,ALLI,3,3,ALLI33,8.05,500.59,,
26,ALLI,2,1,ALLI21,8.3,500.26,,
27,ALLI,2,7,ALLI27,6.4,332.49,,
28,ALLI,1,4,ALLI14,7.65,431.96,,
29,ALLI,1,5,ALLI15,7.3,418.51,,
30,ALLI,1,14,ALLI114,6.1,316.63,,
31,ALLI,1,8,ALLI18,7.35,407.98,229.05,
32,ALLI,3,9,ALLI39,6.7,357.71,206.01,
33,ALLI,2,10,ALLI210,6.25,326.82,175.77,
34,ALLI,1,10,ALLI110,7.2,383.36,215.99,
35,ALLI,3,5,ALLI35,7.25,416.16,240.05,
36,ALLI,3,6,ALLI36,6.9,380.88,218.85,
37,ALLI,3,10,ALLI310,6.8,358.39,206.79,
38,ALLI,3,14,ALLI314,6,310.33,179.7,
39,ALLI,2,5,ALLI25,6.8,371.48,197.01,
40,ALLI,1,3,ALLI13,8.1,471.44,262.82,
41,ALLI,2,15,ALLI215,5.4,251.57,131.4,
42,ALLI,2,6,ALLI26,6.5,363.49,192.87,
43,ALLI,2,9,ALLI29,6.3,326.7,173.39,
44,ALLI,1,2,ALLI12,8.2,470.52,264.63,
45,ALLI,2,8,ALLI28,6.2,316,165.92,
46,ALLI,3,2,ALLI32,8.5,517.91,306.14,
1,ANBA,2,15,ANBA215,6.4,265.29,,
2,ANBA,3,16,ANBA316,5.7,210.25,,
3,ANBA,3,8,ANBA38,7.4,363.04,,
4,ANBA,1,13,ANBA113,6.4,247.53,,
5,ANBA,3,11,ANBA311,7,336.79,,
6,ANBA,3,15,ANBA315,5.75,221.19,,
7,ANBA,2,7,ANBA27,7.4,344.34,,
8,ANBA,1,14,ANBA114,6.25,242.85,,
9,ANBA,2,13,ANBA213,6.7,285.08,,
10,ANBA,1,5,ANBA15,8.15,378.57,,
11,ANBA,1,7,ANBA17,7.7,331.47,,
12,ANBA,3,1,ANBA31,8.7,492.2,,
13,ANBA,1,11,ANBA111,6.6,269.89,,
14,ANBA,2,10,ANBA210,6.9,309.25,,
15,ANBA,2,9,ANBA29,7.2,333.75,,
16,ANBA,2,11,ANBA211,6.8,295.12,,
17,ANBA,2,5,ANBA25,7.5,368.62,,
18,ANBA,2,3,ANBA23,8,401.24,,
19,ANBA,3,9,ANBA39,7.3,356.46,,
20,ANBA,2,6,ANBA26,7.5,365.63,,
21,ANBA,2,4,ANBA24,7.7,382.95,,
22,ANBA,1,6,ANBA16,8.2,361,,
23,ANBA,1,9,ANBA19,7,296.4,,
24,ANBA,1,12,ANBA112,6.5,261.14,,
25,ANBA,3,3,ANBA33,8.5,447.32,,
26,ANBA,3,10,ANBA310,6.05,230.03,,
27,ANBA,1,1,ANBA11,8.7,410.3,,
28,ANBA,1,2,ANBA12,8.8,412.6,,
29,ANBA,1,4,ANBA14,8.3,380.93,,
30,ANBA,1,16,ANBA116,6.3,233.55,,
31,ANBA,2,2,ANBA22,8,422.85,147.7,
32,ANBA,2,8,ANBA28,7.25,343.52,120.3,
33,ANBA,2,1,ANBA21,8.7,481.52,176.23,
34,ANBA,1,3,ANBA13,8.5,404.65,144.59,
35,ANBA,3,7,ANBA37,7.9,405.63,155.71,
36,ANBA,2,14,ANBA214,6.1,254.78,89.19,
37,ANBA,3,12,ANBA312,7,327.87,119.62,
38,ANBA,3,13,ANBA313,7.5,377.05,144.05,
39,ANBA,1,8,ANBA18,7.4,309.51,110.85,
40,ANBA,1,10,ANBA110,7,296.98,107.9,
41,ANBA,1,15,ANBA115,6.2,232.13,81.41,
42,ANBA,3,5,ANBA35,8.1,419.1,157.03,
43,ANBA,3,6,ANBA36,7.8,408.99,154.95,
44,ANBA,2,12,ANBA212,6.5,276.65,98,
45,ANBA,3,2,ANBA32,8.55,457.01,173.94,
46,ANBA,3,4,ANBA34,8.2,430.58,162.58,
47,ANBA,3,14,ANBA314,5.75,224.67,80.27,
1,BAAE,2,5,BAAE25,7,327.18,,
2,BAAE,3,8,BAAE38,7.9,433.71,,
3,BAAE,2,11,BAAE211,6.3,278.3,,
4,BAAE,3,16,BAAE316,6,262.16,,
5,BAAE,3,2,BAAE32,8.8,559.89,,
6,BAAE,2,14,BAAE214,6.15,268.27,,
7,BAAE,2,8,BAAE28,6.4,281.37,,
8,BAAE,3,5,BAAE35,9.2,617.14,,
9,BAAE,3,3,BAAE33,8.75,551.15,,
10,BAAE,3,14,BAAE314,6.9,337.94,,
11,BAAE,2,6,BAAE26,6.9,316.25,,
12,BAAE,3,1,BAAE31,9.1,580,,
13,BAAE,2,16,BAAE216,6.3,280.36,,
14,BAAE,2,3,BAAE23,7.3,355.62,,
15,BAAE,3,11,BAAE311,8.2,487.24,,
16,BAAE,3,9,BAAE39,7.5,375.93,,
17,BAAE,3,15,BAAE315,6.8,370.41,,
18,BAAE,1,3,BAAE13,6.5,284.97,,
19,BAAE,1,5,BAAE15,6.15,256.96,,
20,BAAE,2,15,BAAE215,6.1,263.06,,
21,BAAE,2,12,BAAE212,6.3,265.71,,
22,BAAE,3,6,BAAE36,8.4,522.42,,
23,BAAE,3,7,BAAE37,8.6,550.34,,
24,BAAE,1,11,BAAE111,5.4,204.3,,
25,BAAE,1,9,BAAE19,5.4,218.88,,
26,BAAE,1,6,BAAE16,6.1,250.53,,
27,BAAE,1,2,BAAE12,6.75,314.03,,
28,BAAE,2,7,BAAE27,6.55,294.01,,
29,BAAE,3,12,BAAE312,7,351.53,,
30,BAAE,1,10,BAAE110,5.35,191.75,,
31,BAAE,3,4,BAAE34,8.85,577.6,248.49,
32,BAAE,1,8,BAAE18,5.95,232.13,92.14,
33,BAAE,2,9,BAAE29,6.4,275.95,109.77,
34,BAAE,1,12,BAAE112,5,185.11,73.5,lost bark
35,BAAE,3,13,BAAE313,7,351.13,151.5,
36,BAAE,1,13,BAAE113,5,168.59,66.55,
37,BAAE,2,1,BAAE21,7.55,390.67,157.1,
38,BAAE,2,4,BAAE24,7,337.97,137.35,
39,BAAE,1,4,BAAE14,6.3,260.43,97.72,
40,BAAE,2,10,BAAE210,6.4,289.45,115.24,
41,BAAE,1,1,BAAE11,7.2,357.26,142.68,lost bark
42,BAAE,1,7,BAAE17,6,242.83,95.11,
43,BAAE,3,10,BAAE310,7.8,446.53,191.29,
44,BAAE,2,13,BAAE213,6.1,261.97,102.95,lost bark
45,BAAE,2,2,BAAE22,7.5,476.04,151.48,lost bark
1,EUSC,1,6,EUSC16,5.5,233.02,,
2,EUSC,1,9,EUSC19,6.9,340.93,,
3,EUSC,1,13,EUSC113,7.1,417.42,,
4,EUSC,2,12,EUSC212,6.8,381.66,164.28,
5,EUSC,3,1,EUSC31,7.75,494.2,,
6,EUSC,3,5,EUSC35,7.5,462.61,,
7,EUSC,2,13,EUSC213,6.7,372.37,,
8,EUSC,1,3,EUSC13,5.2,213.95,,
9,EUSC,1,10,EUSC110,7,387.02,,
10,EUSC,1,5,EUSC15,5.4,230.54,,
11,EUSC,2,8,EUSC28,6.3,338.79,,
12,EUSC,2,5,EUSC25,5.9,294.16,,
13,EUSC,2,1,EUSC21,5.55,251.28,,
14,EUSC,1,1,EUSC11,5.1,201.71,,
15,EUSC,1,12,EUSC112,7.3,423.31,,
16,EUSC,1,11,EUSC111,7.15,423.8,,
17,EUSC,1,16,EUSC116,7.35,436.64,,
18,EUSC,3,4,EUSC34,7.85,476.47,,
19,EUSC,1,14,EUSC114,7.8,491.28,,
20,EUSC,2,9,EUSC29,6.6,353.4,,
21,EUSC,3,12,EUSC312,8.4,580.68,,
22,EUSC,2,16,EUSC216,6.9,402.46,,
23,EUSC,3,11,EUSC311,8.2,545.18,,
24,EUSC,3,2,EUSC32,7.4,445.82,,
25,EUSC,3,9,EUSC39,8.2,551.88,,
26,EUSC,3,14,EUSC314,8.5,576.76,,
27,EUSC,3,6,EUSC36,8,512.3,,
28,EUSC,3,8,EUSC38,7.75,497.05,,
29,EUSC,3,10,EUSC310,8,510.47,,
30,EUSC,2,10,EUSC210,8,399.35,,
31,EUSC,2,4,EUSC24,5.6,261.8,115.05,
32,EUSC,1,7,EUSC17,6.6,362.71,157.71,
33,EUSC,3,3,EUSC33,7.7,481.93,206.14,
34,EUSC,1,17,EUSC117,7.4,452.65,192.66,
35,EUSC,1,8,EUSC18,6.4,333.98,140.47,
36,EUSC,1,18,EUSC118,7.6,474.96,201.68,
37,EUSC,2,2,EUSC22,5.95,294.1,,
38,EUSC,2,15,EUSC215,6.95,401.68,169.98,
39,EUSC,2,14,EUSC214,6.8,378.88,159.27,
40,EUSC,3,7,EUSC37,7.8,490.71,201.92,
41,EUSC,1,2,EUSC12,5,202.21,82.77,
42,EUSC,2,7,EUSC27,6.15,335.87,149.63,
43,EUSC,3,13,EUSC313,8.6,591.15,248.92,
44,EUSC,3,15,EUSC315,8.7,622.03,264.29,
45,EUSC,2,6,EUSC26,6.6,329.56,148.38,
46,EUSC,2,3,EUSC23,5.8,263.75,117.87,
47,EUSC,1,15,EUSC115,7.6,462.49,202.67,
48,EUSC,1,4,EUSC14,5.3,235.55,99.34,
49,EUSC,2,11,EUSC211,7,406.46,181.81,
50,EUSC,3,16,EUSC316,8.9,658.93,281.22,
1,EUTE,3,7,EUTE37,6.6,376.08,,
2,EUTE,1,6,EUTE16,8.55,616.44,,
3,EUTE,2,7,EUTE27,5.85,272.6,,
4,EUTE,3,18,EUTE318,7.6,500.33,,
5,EUTE,1,9,EUTE19,8.2,583.62,,
6,EUTE,3,1,EUTE31,5.8,286.66,,
7,EUTE,2,8,EUTE28,5.25,224.3,,
8,EUTE,3,12,EUTE312,7.5,452.37,,
9,EUTE,1,8,EUTE18,8.5,633.31,,
10,EUTE,1,4,EUTE14,8.65,634.54,,
11,EUTE,1,13,EUTE113,7.3,446.99,,
12,EUTE,3,17,EUTE317,7.5,487.48,,
13,EUTE,3,10,EUTE310,7,420.3,,
14,EUTE,1,1,EUTE11,8.75,652.35,,
15,EUTE,3,16,EUTE316,7.35,472.13,,
16,EUTE,2,5,EUTE25,6.6,372.08,,
17,EUTE,3,4,EUTE34,6.6,379.97,,
18,EUTE,1,7,EUTE17,8.5,632.64,,
19,EUTE,3,13,EUTE313,7.1,443.32,,
20,EUTE,3,3,EUTE33,8,422.08,,
21,EUTE,1,5,EUTE15,8.9,660.93,,
22,EUTE,1,10,EUTE110,8.1,549.53,,
23,EUTE,2,2,EUTE22,6.6,361.46,,
24,EUTE,1,3,EUTE13,8.6,627.4,,
25,EUTE,3,11,EUTE311,7.05,439.81,,
26,EUTE,3,5,EUTE35,6.7,399.47,,
27,EUTE,3,2,EUTE32,5.75,284.65,,
28,EUTE,2,3,EUTE23,6.45,349.72,,
29,EUTE,3,14,EUTE314,7.4,470.05,,
30,EUTE,1,15,EUTE115,7.3,436.58,,
31,EUTE,1,14,EUTE114,7.05,417.14,210.41,
32,EUTE,1,11,EUTE111,8.35,619.18,316.9,
33,EUTE,3,15,EUTE315,7.6,488.8,256.29,
34,EUTE,3,8,EUTE38,6.7,392.62,207.34,
35,EUTE,2,4,EUTE24,6.8,376.72,187.63,
36,EUTE,1,2,EUTE12,8.85,650.42,327.06,
37,EUTE,3,19,EUTE319,7.7,528.65,280.82,
38,EUTE,3,9,EUTE39,7,414.01,218.24,
39,EUTE,2,1,EUTE21,6.5,345.91,173.3,
40,EUTE,1,12,EUTE112,8.1,574.01,284.7,
41,EUTE,2,6,EUTE26,6.7,387.21,196.8,
42,EUTE,3,6,EUTE36,6.7,374.37,200.87,
1,EXCU,1,3,EXCU13,5.5,261.37,,
2,EXCU,1,9,EXCU19,4.6,186.33,,
3,EXCU,2,9,EXCU29,5.9,319.91,,
4,EXCU,2,11,EXCU211,6.3,329.81,,
5,EXCU,2,7,EXCU27,5.4,259.69,,
6,EXCU,2,8,EXCU28,5.7,277.23,,
7,EXCU,1,2,EXCU12,5.8,293.01,,
8,EXCU,2,1,EXCU21,5.2,229.97,,
9,EXCU,1,6,EXCU16,4.8,208.1,,
10,EXCU,2,3,EXCU23,5.2,232.24,,
11,EXCU,3,11,EXCU311,5.3,231.27,,
12,EXCU,2,12,EXCU212,6.55,376.48,,
13,EXCU,3,3,EXCU33,6.5,371.02,,
14,EXCU,3,7,EXCU37,5.7,279.04,,
15,EXCU,3,8,EXCU38,5.7,277.88,,
16,EXCU,1,7,EXCU17,4.75,197.34,,
17,EXCU,2,5,EXCU25,5.2,238.11,,
18,EXCU,1,5,EXCU15,5.3,259.92,,
19,EXCU,1,8,EXCU18,4.7,188.19,,
20,EXCU,3,4,EXCU34,6.25,344.75,,
21,EXCU,3,9,EXCU39,5.5,249.94,,
22,EXCU,3,10,EXCU310,5.3,236.68,,
23,EXCU,3,12,EXCU312,5.3,240.94,,
24,EXCU,2,4,EXCU24,5.2,235.97,,
25,EXCU,3,13,EXCU313,5.3,256.81,,
26,EXCU,3,1,EXCU31,6.75,349.3,,
27,EXCU,1,4,EXCU14,5.3,250.28,,
28,EXCU,3,5,EXCU35,6,305.79,,
29,EXCU,1,1,EXCU11,6,295.22,,
30,EXCU,3,2,EXCU32,6.5,326.6,,
31,EXCU,2,10,EXCU210,6.5,360.02,192.1,
32,EXCU,2,6,EXCU26,5.35,253.1,131.89,
33,EXCU,2,2,EXCU22,5.1,226.37,125.36,
34,EXCU,3,6,EXCU36,5.9,295.6,154.37,
1,JASC,2,5,JASC25,7.1,287.27,,
2,JASC,3,11,JASC311,7.1,309.41,,
3,JASC,3,18,JASC318,6.4,224.64,,
4,JASC,3,6,JASC36,7.9,335.1,,
5,JASC,2,1,JASC21,8.3,401.15,,
6,JASC,1,7,JASC17,7.1,316.86,,
7,JASC,1,17,JASC117,6,244.03,,
8,JASC,3,19,JASC319,6.3,220.77,,
9,JASC,1,16,JASC116,5.7,235.98,,
10,JASC,3,4,JASC34,7.9,366.44,,
11,JASC,2,8,JASC28,6.3,237.66,,
12,JASC,2,11,JASC211,6.3,214.45,,
13,JASC,3,16,JASC316,6.4,231.9,,
14,JASC,2,10,JASC210,5.9,195.42,,
15,JASC,1,11,JASC111,6.4,271.22,,
16,JASC,2,6,JASC26,6.5,258.84,,
17,JASC,2,3,JASC23,7.3,297,,
18,JASC,2,9,JASC29,7,267.57,,
19,JASC,3,5,JASC35,7.9,346.29,,
20,JASC,1,14,JASC114,6,240.76,,
21,JASC,1,3,JASC13,8.3,338.76,,
22,JASC,1,13,JASC113,5.9,240.83,,
23,JASC,3,7,JASC37,7.8,337.04,,
24,JASC,1,15,JASC115,5.9,237.77,,
25,JASC,2,19,JASC219,6.1,200.32,,
26,JASC,2,4,JASC24,6.9,289.6,,
27,JASC,3,14,JASC314,7,274.19,,
28,JASC,3,8,JASC38,7.7,316.09,,
29,JASC,1,8,JASC18,6.8,292.94,,
30,JASC,3,3,JASC33,8.1,371.81,,
35,JASC,3,9,JASC39,7.5,316.14,189.98,
36,JASC,1,18,JASC118,6,233.27,129.36,
37,JASC,1,10,JASC110,6.2,260.13,144.7,
38,JASC,2,17,JASC217,5.7,177.04,100.22,
39,JASC,1,1,JASC11,7.7,394.36,225.723,
40,JASC,3,2,JASC32,8,366.34,222.8,
41,JASC,3,10,JASC310,7.6,305.93,185.36,
42,JASC,3,15,JASC315,6.8,258.83,159.53,
43,JASC,2,14,JASC214,6.4,215.83,121.95,
44,JASC,1,12,JASC112,6,248.62,139.03,
45,JASC,2,7,JASC27,6.6,248.28,139.12,
46,JASC,3,12,JASC312,7.2,282.29,171.69,
47,JASC,1,19,JASC119,6,221.94,122.29,
48,JASC,2,18,JASC218,5.9,195.36,111.24,
49,JASC,3,13,JASC313,7.1,274.25,166.35,
50,JASC,1,6,JASC16,6.8,290.56,159.71,
51,JASC,1,4,JASC14,7,323.36,180.96,
52,JASC,3,1,JASC31,8.2,378.96,229.7,
53,JASC,1,5,JASC15,7.1,310.92,173.44,
54,JASC,3,17,JASC317,6.6,235.79,142.83,
55,JASC,1,9,JASC19,6.5,278.41,154.8,
56,JASC,2,2,JASC22,8.8,342.29,193.45,low mass
57,JASC,1,2,JASC12,7.7,362.26,204.29,
1,LEPA,4,5,LEPA45,4.2,140.73,,
2,LEPA,2,3,LEPA23,4.3,138.9,,
3,LEPA,3,7,LEPA37,6.4,251.14,,
4,LEPA,3,11,LEPA311,5.6,189.3,,
5,LEPA,1,4,LEPA14,5.5,172.8,,
6,LEPA,4,6,LEPA46,4.6,149.5,,
7,LEPA,2,6,LEPA26,4.5,164.14,,
8,LEPA,2,2,LEPA22,4.4,144.92,,
9,LEPA,1,5,LEPA15,4.4,139.71,,
10,LEPA,1,9,LEPA19,4.5,133.88,,SPLIT AT TOP
11,LEPA,2,7,LEPA27,4.5,140.93,,
12,LEPA,3,2,LEPA32,6.8,291.85,,
13,LEPA,3,8,LEPA38,7.1,252.62,,
14,LEPA,3,3,LEPA33,6.6,286.21,,
15,LEPA,2,8,LEPA28,4.3,119.56,,
16,LEPA,1,3,LEPA13,4.9,161.28,,
17,LEPA,4,7,LEPA47,4.6,142,,
18,LEPA,1,1,LEPA11,5,183.66,,
19,LEPA,2,5,LEPA25,4.8,148.25,,
20,LEPA,2,4,LEPA24,4.4,136.63,,
21,LEPA,3,5,LEPA35,6.7,306.46,,
22,LEPA,4,1,LEPA41,4.8,169.92,,
23,LEPA,4,3,LEPA43,4.4,148.21,,
24,LEPA,3,6,LEPA36,6.3,288.66,,
25,LEPA,1,2,LEPA12,5.2,184.53,,
26,LEPA,4,4,LEPA44,4.4,148.73,,
27,LEPA,1,7,LEPA17,4.9,138.78,,
28,LEPA,2,1,LEPA21,4.6,159.31,,
29,LEPA,3,1,LEPA31,6.8,277.87,,
30,LEPA,1,6,LEPA16,4.3,136.65,,
31,LEPA,1,8,LEPA18,4.3,119.04,60.92,
32,LEPA,4,2,LEPA42,4.8,168.29,90.83,
33,LEPA,3,12,LEPA312,5.2,162.46,93.19,
34,LEPA,2,9,LEPA29,3.5,103.1,52.95,
35,LEPA,3,4,LEPA34,7.2,301.32,169.69,
36,LEPA,3,10,LEPA310,6,219.28,122.45,
37,LEPA,2,10,LEPA210,3.4,94.04,47.67,
38,LEPA,3,9,LEPA39,5.8,212.37,120.12,
1,MEDE,1,12,MEDE112,6.3,233.13,,
2,MEDE,2,8,MEDE28,7.5,390.89,,
3,MEDE,2,16,MEDE216,8.6,487.09,,
4,MEDE,3,11,MEDE311,6.2,236.18,,
5,MEDE,3,4,MEDE34,5.7,210.85,,
6,MEDE,2,14,MEDE214,8.7,472.47,,
7,MEDE,2,13,MEDE213,9.2,505.54,,
8,MEDE,1,11,MEDE111,6.5,247.43,,
9,MEDE,2,2,MEDE22,6.7,313.95,,
10,MEDE,2,11,MEDE211,8,449.3,,
11,MEDE,3,3,MEDE33,5.6,212.3,,
12,MEDE,3,13,MEDE313,6.7,288.7,,
13,MEDE,2,15,MEDE215,8.7,479.15,,
14,MEDE,1,15,MEDE115,6.1,217.9,,
15,MEDE,3,12,MEDE312,6.4,257.5,,
16,MEDE,1,6,MEDE16,7,279.67,,
17,MEDE,1,9,MEDE19,6.7,247.95,,
18,MEDE,2,3,MEDE23,7.7,332.93,,
19,MEDE,3,10,MEDE310,6.2,268.81,,
20,MEDE,1,4,MEDE14,7.1,311.13,,
21,MEDE,2,7,MEDE27,7.5,401.14,,
22,MEDE,3,14,MEDE314,6.9,299.1,,
23,MEDE,2,4,MEDE24,7.4,371.38,,
24,MEDE,3,9,MEDE39,6.1,247.57,,
25,MEDE,3,6,MEDE36,5.8,227.97,,
26,MEDE,3,1,MEDE31,5.9,239.69,,
27,MEDE,1,8,MEDE18,6.7,258.53,,
28,MEDE,2,1,MEDE21,6.9,352.88,,
29,MEDE,3,2,MEDE32,5.6,229.55,,
30,MEDE,3,16,MEDE316,7.1,339.99,,
31,MEDE,3,5,MEDE35,5.8,215.41,113.8,
32,MEDE,1,16,MEDE116,6.3,224.03,113.33,
33,MEDE,2,5,MEDE25,7,335.49,160.57,
34,MEDE,3,7,MEDE37,6.4,259.21,140.22,
35,MEDE,3,8,MEDE38,6,232.92,126.45,
36,MEDE,1,3,MEDE13,7.6,319.74,156.8,
37,MEDE,2,6,MEDE26,7.9,343.62,165.51,
38,MEDE,1,13,MEDE113,5.8,213.18,109.77,
39,MEDE,1,5,MEDE15,7.2,298.88,143.53,
40,MEDE,2,12,MEDE212,8,407.91,213.94,
41,MEDE,1,10,MEDE110,6.3,237.25,118.91,
42,MEDE,1,7,MEDE17,7,264.09,128.79,
43,MEDE,1,14,MEDE114,6.1,221.56,114.35,
44,MEDE,1,1,MEDE11,8.45,391.75,192.9,
45,MEDE,3,15,MEDE315,7.1,331.05,171.66,
46,MEDE,2,10,MEDE210,9,481,252.76,
47,MEDE,2,9,MEDE29,7.3,373.04,187.56,
48,MEDE,1,2,MEDE12,7.6,338.73,162.54,
1,PELI,1,7,PELI17,6.1,269.36,,
2,PELI,1,13,PELI113,6.7,347.71,,
3,PELI,3,3,PELI33,8.1,393.98,,
4,PELI,1,2,PELI12,9,510.98,,
5,PELI,1,4,PELI14,7.7,417.38,,
6,PELI,3,11,PELI311,7.3,324.19,,
7,PELI,2,3,PELI23,5.1,202.5,,
8,PELI,2,5,PELI25,4.6,177.03,,
9,PELI,3,6,PELI36,7.6,385.47,,
10,PELI,1,17,PELI117,9.1,569.01,,
11,PELI,1,16,PELI116,8.1,376.25,,
12,PELI,3,13,PELI313,7,318.58,,
13,PELI,3,1,PELI31,8,385.29,,
14,PELI,1,1,PELI11,8.7,525.61,,
15,PELI,1,6,PELI16,7.5,391.59,,
16,PELI,3,4,PELI34,7.7,394.74,,
17,PELI,1,10,PELI110,7.2,350.98,,
18,PELI,3,5,PELI35,7.7,396.83,,
19,PELI,2,4,PELI24,6.2,260.15,,
20,PELI,1,18,PELI118,7.4,355.21,,
21,PELI,1,14,PELI114,6.7,323.31,,
22,PELI,1,15,PELI115,8.9,478.03,,
23,PELI,3,8,PELI38,8.5,393.31,,
24,PELI,3,2,PELI32,8.8,449.7,,
25,PELI,2,2,PELI22,5.2,203.02,,
26,PELI,1,5,PELI15,8,421.74,,
27,PELI,3,9,PELI39,7.3,310.62,,
28,PELI,3,12,PELI312,7.3,314.08,,
29,PELI,1,3,PELI13,8.8,459.65,,
30,PELI,2,1,PELI21,5,203.33,,
31,PELI,1,12,PELI112,7,338.75,182.42,
32,PELI,3,10,PELI310,7.2,317.4,154.03,
33,PELI,1,11,PELI111,6.6,323.08,171.32,
34,PELI,3,7,PELI37,7.2,348.72,187.51,
35,PELI,1,8,PELI18,7,341.48,191.64,
36,PELI,1,9,PELI19,7.5,373.4,201.98,
1,PEPU,2,3,PEPU23,6.4,351.39,,
2,PEPU,2,4,PEPU24,6.4,345.68,,
3,PEPU,2,10,PEPU210,6.5,355.39,,
4,PEPU,3,4,PEPU34,6.3,308.4,,
5,PEPU,2,6,PEPU26,6.4,344.05,,
6,PEPU,2,1,PEPU21,6.6,372.74,,
7,PEPU,1,3,PEPU13,6,292.2,,
8,PEPU,1,5,PEPU15,6.25,328.13,,
9,PEPU,2,12,PEPU212,5.6,254.76,,
10,PEPU,3,6,PEPU36,6,293.29,,
11,PEPU,1,1,PEPU11,6.6,376.53,,
12,PEPU,3,8,PEPU38,5.6,257.2,,
13,PEPU,3,5,PEPU35,6.2,327.51,,
14,PEPU,1,11,PEPU111,5.1,206.48,,
15,PEPU,3,7,PEPU37,5.7,272.96,,
16,PEPU,1,10,PEPU110,5.5,250.25,,
17,PEPU,1,2,PEPU12,6.3,328.7,,
18,PEPU,3,10,PEPU310,6,283.83,,
19,PEPU,1,9,PEPU19,6.55,356.26,,
20,PEPU,3,3,PEPU33,6.3,309.88,,
21,PEPU,2,2,PEPU22,6.5,356.05,,
22,PEPU,2,11,PEPU211,5.75,275.69,,
