random order num,Species,Stem,ID,unique,Diameter (cm),Fresh mass (g),Dry mass (g),notes
1,ACPA,4,1,ACPA41,6.5,384.42,,
2,ACPA,1,10,ACPA110,6.6,364.66,,
3,ACPA,1,8,ACPA18,6.6,355.03,,
4,ACPA,1,2,ACPA12,7,436.26,,
5,ACPA,4,12,ACPA412,5.2,245.47,,
6,ACPA,3,11,ACPA311,5.5,269.4,,
7,ACPA,4,15,ACPA415,5.2,239.15,,
8,ACPA,4,2,ACPA42,6.4,367.55,,
9,ACPA,3,1,ACPA31,7.15,438.75,,
10,ACPA,3,6,ACPA36,5.8,305.3,,
11,ACPA,1,3,ACPA13,7.6,468.68,,
12,ACPA,4,10,ACPA410,5.25,248.71,,
13,ACPA,4,11,ACPA411,5.2,240.15,,
14,ACPA,3,15,ACPA315,5.5,261.22,,
15,ACPA,3,9,ACPA39,5.65,285.47,,
16,ACPA,3,10,ACPA310,5.55,266.46,,
17,ACPA,1,6,ACPA16,6.5,345.92,,
18,ACPA,3,3,ACPA33,6.9,432.13,,
19,ACPA,4,6,ACPA46,6.1,346.04,,
20,ACPA,3,14,ACPA314,5.4,255.3,,
21,ACPA,1,16,ACPA116,5.8,287.76,,
22,ACPA,1,9,ACPA19,6.5,345.62,,
23,ACPA,3,5,ACPA35,6.3,353.16,,
24,ACPA,3,13,ACPA313,5.5,258.89,,
25,ACPA,1,14,ACPA114,5.9,300,190.95,
26,ACPA,4,8,ACPA48,5.5,266.8,,
27,ACPA,1,13,ACPA113,6,304.6,,
28,ACPA,4,9,ACPA49,5.4,267.66,,
29,ACPA,1,11,ACPA111,6.25,349.64,,
30,ACPA,3,12,ACPA312,5.45,255.33,,
31,ACPA,3,4,ACPA34,6.1,323.66,198.46,
32,ACPA,3,7,ACPA37,5.8,296.71,180.54,
33,ACPA,1,4,ACPA14,6.8,386.46,,
34,ACPA,1,15,ACPA115,6,294.66,187.97,
35,ACPA,1,5,ACPA15,6.5,365.05,233.47,
36,ACPA,1,7,ACPA17,6.35,349.9,222.66,
37,ACPA,4,5,ACPA45,6.6,372.91,240.17,
38,ACPA,1,1,ACPA11,7.1,435.57,290.17,
39,ACPA,1,12,ACPA112,6.1,321.5,204.49,
40,ACPA,4,14,ACPA414,5.25,242.59,148.69,
41,ACPA,4,4,ACPA44,6.6,422.35,272.92,
42,ACPA,4,13,ACPA413,5.15,241.58,148.09,
43,ACPA,3,2,ACPA32,6.7,401.58,248.65,
44,ACPA,4,16,ACPA416,5,228.39,138.11,
45,ACPA,4,3,ACPA43,6.4,374.89,241.4,
46,ACPA,3,8,ACPA38,5.7,287.09,174.86,
47,ACPA,4,7,ACPA47,5.6,292.97,181.33,
1,ALLI,1,11,ALLI111,6.65,364.4,,
2,ALLI,3,16,ALLI316,5.9,294.07,,
3,ALLI,3,15,ALLI315,6,301.51,,
4,ALLI,1,9,ALLI19,7.35,416.5,,
5,ALLI,2,12,ALLI212,5.8,285.22,,
6,ALLI,1,1,ALLI11,8.7,517.07,,
7,ALLI,2,3,ALLI23,7.2,401.18,,
