order,species,Stem,ID,unique,rand
4,excu,1,f,excu1f,27
5,EXCU,1,3,EXCU13,11
8,ALLI,1,11,ALLI111,20
10,ripi,1,b,ripi1b,26
21,lepa,1,c,lepa1c,26
23,ripi,1,c,ripi1c,9
24,PELI,1,7,PELI17,9
35,ACPA,1,10,ACPA110,25
43,peli,1,k,peli1k,25
44,olst,1,e,olst1e,20
46,eute,1,b,eute1b,5
52,anba,1,l,anba1l,3
59,ACPA,1,8,ACPA18,2
60,cali,1,l,cali1l,27
61,olst,1,j,olst1j,1
64,MEDE,1,12,MEDE112,14
66,PELI,1,2,PELI12,17
69,cota,1,a,cota1a,13
70,mede,1,a,mede1a,18
71,hase,1,j,hase1j,3
73,PELI,1,13,PELI113,29
77,EUSC,1,6,EUSC16,30
78,olst,1,i,olst1i,2
80,EXCU,1,9,EXCU19,25
81,ALLI,1,9,ALLI19,2
86,jasc,1,f,jasc1f,9
88,eute,1,k,eute1k,16
89,mede,1,i,mede1i,21
95,ACPA,1,2,ACPA12,1
96,ALLI,1,1,ALLI11,22
97,lepa,1,j,lepa1j,2
99,cota,1,d,cota1d,19
104,ANBA,1,5,ANBA15,25
105,mede,1,c,mede1c,25
110,penu,1,d,penu1d,8
111,basp,1,c,basp1c,21
113,penu,1,c,penu1c,29
119,acel,1,b,acel1b,14
122,basp,1,f,basp1f,22
125,EUTE,1,6,EUTE16,24
129,alli,1,c,alli1c,25
130,pepu,1,e,pepu1e,18
134,hase,1,l,hase1l,9
137,eute,1,a,eute1a,13
138,JASC,1,7,JASC17,11
139,anba,1,h,anba1h,9
140,EUTE,1,9,EUTE19,5
143,PELI,1,4,PELI14,14
148,pepu,1,a,pepu1a,19
154,EUSC,1,9,EUSC19,10
155,EUSC,1,13,EUSC113,11
159,lepa,1,b,lepa1b,14
161,ANBA,1,14,ANBA114,29
171,peli,1,c,peli1c,29
172,leer,1,c,leer1c,27
173,lepa,1,a,lepa1a,4
174,ripi,1,j,ripi1j,21
175,jasc,1,d,jasc1d,14
178,alli,1,a,alli1a,23
183,excu,1,a,excu1a,12
194,baae,1,g,baae1g,10
197,ANBA,1,13,ANBA113,27
201,acel,1,h,acel1h,10
202,pepu,1,f,pepu1f,7
204,cali,1,f,cali1f,22
212,eusc,1,f,eusc1f,6
213,eusc,1,k,eusc1k,10
214,eusc,1,g,eusc1g,8
219,mede,1,b,mede1b,30
230,mede,1,e,mede1e,13
236,JASC,1,17,JASC117,21
240,cota,1,g,cota1g,14
242,jasc,1,a,jasc1a,26
244,PELI,1,17,PELI117,7
245,isan,1,d,isan1d,9
248,ANBA,1,7,ANBA17,19
249,excu,1,d,excu1d,7
255,mede,1,j,mede1j,20
256,excu,1,g,excu1g,11
257,JASC,1,16,JASC116,23
258,LEPA,1,4,LEPA14,16
268,pepu,1,b,pepu1b,22
269,acel,1,a,acel1a,12
270,PELI,1,16,PELI116,22
271,ripi,1,i,ripi1i,1
277,cota,1,e,cota1e,1
278,jasc,1,g,jasc1g,22
279,anba,1,j,anba1j,5
289,olst,1,c,olst1c,19
292,acpa,1,d,acpa1d,15
296,EXCU,1,2,EXCU12,20
299,EUSC,1,3,EUSC13,14
307,baae,1,c,baae1c,2
309,acel,1,k,acel1k,26
310,EUTE,1,8,EUTE18,19
311,lepa,1,g,lepa1g,13
313,PEPU,1,3,PEPU13,16
315,anba,1,a,anba1a,4
318,acpa,1,a,acpa1a,3
320,PEPU,1,5,PEPU15,27
321,eute,1,c,eute1c,26
327,EUTE,1,4,EUTE14,15
333,EUTE,1,13,EUTE113,22
346,penu,1,b,penu1b,4
350,ALLI,1,6,ALLI16,27
352,MEDE,1,11,MEDE111,1
353,pepu,1,k,pepu1k,30
356,pepu,1,g,pepu1g,5
357,olst,1,a,olst1a,3
361,EXCU,1,6,EXCU16,1
363,eute,1,g,eute1g,17
365,acpa,1,g,acpa1g,25
372,EUSC,1,10,EUSC110,18
374,JASC,1,11,JASC111,18
376,ANBA,1,11,ANBA111,14
377,EUSC,1,5,EUSC15,17
378,acel,1,l,acel1l,1
379,eute,1,h,eute1h,27
380,ALLI,1,13,ALLI113,10
381,jasc,1,l,jasc1l,12
383,LEPA,1,5,LEPA15,12
388,ripi,1,g,ripi1g,17
391,cota,1,b,cota1b,9
395,baae,1,e,baae1e,29
396,lepa,1,l,lepa1l,28
397,anba,1,e,anba1e,28
400,EUTE,1,1,EUTE11,4
403,excu,1,b,excu1b,16
405,LEPA,1,9,LEPA19,9
407,mede,1,g,mede1g,1
408,leer,1,a,leer1a,14
416,PEPU,1,1,PEPU11,30
419,alli,1,f,alli1f,22
421,cali,1,h,cali1h,2
423,acel,1,c,acel1c,23
426,hase,1,g,hase1g,23
428,alli,1,d,alli1d,17
429,jasc,1,i,jasc1i,11
431,penu,1,a,penu1a,17
435,MEDE,1,15,MEDE115,21
437,hase,1,i,hase1i,29
442,acel,1,f,acel1f,15
444,jasc,1,b,jasc1b,3
448,EUSC,1,1,EUSC11,7
449,isan,1,c,isan1c,20
455,basp,1,a,basp1a,26
464,isan,1,i,isan1i,7
467,pepu,1,i,pepu1i,8
468,EUSC,1,12,EUSC112,5
470,pepu,1,c,pepu1c,10
471,ACPA,1,3,ACPA13,30
472,acpa,1,e,acpa1e,9
474,ALLI,1,12,ALLI112,17
475,EUSC,1,11,EUSC111,9
477,acel,1,d,acel1d,8
479,cali,1,g,cali1g,9
497,alli,1,j,alli1j,13
498,mede,1,d,mede1d,6
502,acpa,1,k,acpa1k,4
506,peli,1,a,peli1a,15
508,EUSC,1,16,EUSC116,19
516,cali,1,c,cali1c,5
517,hase,1,h,hase1h,8
524,pepu,1,d,pepu1d,28
532,LEPA,1,3,LEPA13,4
533,mede,1,f,mede1f,26
537,acpa,1,c,acpa1c,20
539,alli,1,h,alli1h,9
544,basp,1,d,basp1d,23
545,acpa,1,i,acpa1i,1
547,ACPA,1,6,ACPA16,3
552,basp,1,e,basp1e,3
553,baae,1,b,baae1b,5
561,EUTE,1,7,EUTE17,21
566,olst,1,d,olst1d,25
568,MEDE,1,6,MEDE16,6
573,peli,1,i,peli1i,7
575,lepa,1,e,lepa1e,8
576,MEDE,1,9,MEDE19,11
577,excu,1,h,excu1h,1
584,mede,1,k,mede1k,24
586,peli,1,l,peli1l,1
595,EUSC,1,14,EUSC114,25
601,eute,1,j,eute1j,25
602,ACPA,1,16,ACPA116,27
605,BAAE,1,3,BAAE13,6
607,PELI,1,1,PELI11,26
608,ACPA,1,9,ACPA19,13
612,ANBA,1,6,ANBA16,23
613,LEPA,1,1,LEPA11,21
614,cota,1,f,cota1f,11
616,JASC,1,14,JASC114,19
618,ripi,1,f,ripi1f,20
619,PELI,1,6,PELI16,2
626,isan,1,f,isan1f,22
627,EXCU,1,7,EXCU17,29
628,excu,1,e,excu1e,25
629,jasc,1,h,jasc1h,4
633,EUTE,1,5,EUTE15,20
638,basp,1,g,basp1g,6
647,eute,1,d,eute1d,18
651,ANBA,1,9,ANBA19,10
653,ANBA,1,12,ANBA112,2
654,isan,1,a,isan1a,11
655,peli,1,j,peli1j,30
656,jasc,1,k,jasc1k,30
662,isan,1,b,isan1b,13
664,eusc,1,h,eusc1h,20
667,JASC,1,3,JASC13,14
668,hase,1,d,hase1d,17
670,alli,1,b,alli1b,5
672,ACPA,1,4,ACPA14,23
678,MEDE,1,4,MEDE14,18
683,PELI,1,10,PELI110,12
684,eusc,1,a,eusc1a,5
687,hase,1,c,hase1c,19
693,hase,1,e,hase1e,13
694,eusc,1,i,eusc1i,7
696,PEPU,1,11,PEPU111,26
701,BAAE,1,5,BAAE15,3
707,peli,1,b,peli1b,11
711,PEPU,1,10,PEPU110,5
717,PEPU,1,2,PEPU12,11
723,basp,1,h,basp1h,27
726,EXCU,1,5,EXCU15,21
727,EXCU,1,8,EXCU18,26
731,JASC,1,13,JASC113,3
743,PELI,1,14,PELI114,23
758,acel,1,e,acel1e,16
759,ALLI,1,15,ALLI115,25
760,JASC,1,15,JASC115,4
762,PELI,1,18,PELI118,21
777,cali,1,k,cali1k,10
778,pepu,1,l,pepu1l,29
780,lepa,1,f,lepa1f,20
781,ALLI,1,7,ALLI17,21
788,baae,1,a,baae1a,22
789,PELI,1,15,PELI115,27
796,ACPA,1,13,ACPA113,15
798,lepa,1,h,lepa1h,16
800,peli,1,d,peli1d,9
804,hase,1,f,hase1f,16
805,cota,1,c,cota1c,6
806,excu,1,i,excu1i,26
814,LEPA,1,2,LEPA12,3
816,alli,1,g,alli1g,4
818,eute,1,e,eute1e,22
820,olst,1,b,olst1b,18
822,alli,1,i,alli1i,19
826,PEPU,1,9,PEPU19,18
833,hase,1,b,hase1b,30
841,BAAE,1,11,BAAE111,29
842,cali,1,e,cali1e,20
848,mede,1,l,mede1l,23
854,EXCU,1,4,EXCU14,2
856,EUTE,1,3,EUTE13,12
866,anba,1,b,anba1b,27
868,acpa,1,j,acpa1j,21
869,alli,1,e,alli1e,7
872,basp,1,j,basp1j,9
873,eute,1,l,eute1l,23
875,BAAE,1,9,BAAE19,10
879,ripi,1,k,ripi1k,29
880,LEPA,1,7,LEPA17,23
882,anba,1,f,anba1f,8
883,PEPU,1,8,PEPU18,6
886,olst,1,k,olst1k,9
888,EUTE,1,10,EUTE110,14
890,pepu,1,h,pepu1h,21
896,ANBA,1,1,ANBA11,17
900,BAAE,1,6,BAAE16,13
902,baae,1,f,baae1f,4
909,BAAE,1,2,BAAE12,15
910,cali,1,a,cali1a,13
911,olst,1,g,olst1g,28
913,jasc,1,j,jasc1j,19
914,olst,1,h,olst1h,12
917,PELI,1,5,PELI15,16
920,peli,1,e,peli1e,21
922,MEDE,1,8,MEDE18,29
925,leer,1,e,leer1e,21
930,ACPA,1,11,ACPA111,8
931,PEPU,1,13,PEPU113,23
932,eute,1,f,eute1f,2
933,anba,1,c,anba1c,12
936,excu,1,c,excu1c,8
940,ALLI,1,4,ALLI14,8
941,cota,1,h,cota1h,10
944,jasc,1,e,jasc1e,6
946,jasc,1,c,jasc1c,29
951,excu,1,k,excu1k,9
953,ALLI,1,5,ALLI15,9
954,ANBA,1,2,ANBA12,20
956,hase,1,k,hase1k,18
957,acpa,1,b,acpa1b,13
958,PEPU,1,7,PEPU17,21
959,ALLI,1,14,ALLI114,4
960,acel,1,g,acel1g,29
961,anba,1,g,anba1g,6
974,eusc,1,d,eusc1d,2
975,peli,1,f,peli1f,18
978,penu,1,e,penu1e,2
980,alli,1,l,alli1l,1
982,JASC,1,8,JASC18,30
992,LEPA,1,6,LEPA16,26
993,EUTE,1,15,EUTE115,29
998,ripi,1,d,ripi1d,28
999,basp,1,i,basp1i,14
1005,ANBA,1,4,ANBA14,1
1009,PEPU,1,4,PEPU14,28
1010,ANBA,1,16,ANBA116,6
1011,eusc,1,b,eusc1b,27
1012,EXCU,1,1,EXCU11,13
1014,BAAE,1,10,BAAE110,1
1019,PELI,1,3,PELI13,15
2,BAAE,2,5,BAAE25,24
6,PEPU,2,3,PEPU23,7
7,cota,2,d,cota2d,3
12,basp,2,k,basp2k,8
13,eusc,2,d,eusc2d,3
16,alli,2,h,alli2h,26
20,jasc,2,f,jasc2f,10
26,cali,2,g,cali2g,14
27,anba,2,j,anba2j,24
29,excu,2,i,excu2i,17
32,eute,2,c,eute2c,8
36,basp,2,c,basp2c,5
37,cali,2,i,cali2i,19
45,acel,2,b,acel2b,3
47,lepa,2,c,lepa2c,11
49,BAAE,2,11,BAAE211,17
50,JASC,2,5,JASC25,27
53,anba,2,f,anba2f,23
56,PEPU,2,4,PEPU24,29
57,peli,2,k,peli2k,3
67,lepa,2,f,lepa2f,3
68,peli,2,i,peli2i,13
72,cali,2,a,cali2a,25
76,basp,2,j,basp2j,13
79,ANBA,2,15,ANBA215,7
82,baae,2,c,baae2c,8
83,ALLI,2,12,ALLI212,11
84,excu,2,j,excu2j,19
92,MEDE,2,8,MEDE28,30
103,eute,2,k,eute2k,20
107,PEPU,2,10,PEPU210,13
108,MEDE,2,16,MEDE216,12
109,olst,2,j,olst2j,26
115,LEPA,2,3,LEPA23,15
116,baae,2,q,baae2q,24
127,acel,2,c,acel2c,25
131,olst,2,b,olst2b,24
132,EUTE,2,7,EUTE27,30
135,JASC,2,1,JASC21,9
145,ANBA,2,13,ANBA213,22
146,ripi,2,i,ripi2i,4
150,eute,2,a,eute2a,24
152,lepa,2,j,lepa2j,10
156,acel,2,e,acel2e,7
