order,species,Stem,ID,unique,rand
233,PELI,2,5,PELI25,3
243,eute,2,l,eute2l,3
246,acel,2,g,acel2g,27
252,MEDE,2,14,MEDE214,25
260,excu,2,l,excu2l,14
261,EUTE,2,8,EUTE28,23
265,jasc,2,c,jasc2c,17
266,cali,2,k,cali2k,23
267,EUSC,2,13,EUSC213,2
275,ripi,2,g,ripi2g,6
280,anba,2,b,anba2b,22
282,JASC,2,8,JASC28,6
284,baae,2,d,baae2d,26
295,PEPU,2,1,PEPU21,15
300,jasc,2,k,jasc2k,7
301,alli,2,e,alli2e,27
303,ANBA,2,5,ANBA25,30
305,ANBA,2,3,ANBA23,3
308,ANBA,2,11,ANBA211,16
312,ALLI,2,2,ALLI22,19
316,LEPA,2,6,LEPA26,24
319,alli,2,b,alli2b,6
322,hase,2,f,hase2f,20
323,jasc,2,a,jasc2a,16
324,ANBA,2,9,ANBA29,26
325,LEPA,2,2,LEPA22,10
326,mede,2,i,mede2i,15
331,MEDE,2,13,MEDE213,23
335,alli,2,a,alli2a,24
337,EXCU,2,1,EXCU21,30
338,cota,2,f,cota2f,24
340,JASC,2,11,JASC211,29
341,cota,2,a,cota2a,26
342,mede,2,a,mede2a,3
344,PEPU,2,12,PEPU212,2
347,alli,2,c,alli2c,14
348,ANBA,2,10,ANBA210,28
355,ALLI,2,11,ALLI211,1
358,JASC,2,10,JASC210,20
359,alli,2,f,alli2f,20
360,basp,2,f,basp2f,17
364,MEDE,2,2,MEDE22,8
367,MEDE,2,11,MEDE211,2
368,LEPA,2,7,LEPA27,30
370,ALLI,2,13,ALLI213,26
371,EXCU,2,3,EXCU23,17
384,JASC,2,6,JASC26,7
386,EUSC,2,5,EUSC25,23
387,hase,2,h,hase2h,6
389,EUSC,2,8,EUSC28,28
390,ripi,2,e,ripi2e,25
392,basp,2,d,basp2d,20
401,eusc,2,f,eusc2f,17
406,lepa,2,e,lepa2e,30
409,cota,2,c,cota2c,18
411,EUSC,2,1,EUSC21,22
412,mede,2,c,mede2c,11
413,cota,2,e,cota2e,25
414,BAAE,2,6,BAAE26,8
418,MEDE,2,15,MEDE215,27
424,EUTE,2,5,EUTE25,16
438,basp,2,g,basp2g,12
439,excu,2,f,excu2f,5
440,olst,2,i,olst2i,5
443,eusc,2,l,eusc2l,30
445,olst,2,e,olst2e,13
446,JASC,2,3,JASC23,8
458,acel,2,a,acel2a,9
460,excu,2,k,excu2k,2
462,pepu,2,a,pepu2a,9
478,lepa,2,g,lepa2g,22
480,alli,2,l,alli2l,12
482,mede,2,h,mede2h,7
483,penu,2,n,penu2n,20
485,BAAE,2,16,BAAE216,25
488,eute,2,j,eute2j,30
490,mede,2,e,mede2e,28
491,isan,2,b,isan2b,10
492,cali,2,b,cali2b,30
501,excu,2,d,excu2d,6
505,lepa,2,k,lepa2k,7
519,ANBA,2,6,ANBA26,12
520,mede,2,d,mede2d,10
523,EXCU,2,12,EXCU212,23
525,LEPA,2,8,LEPA28,18
527,BAAE,2,3,BAAE23,14
528,penu,2,i,penu2i,9
534,cota,2,h,cota2h,2
535,pepu,2,h,pepu2h,23
536,ripi,2,d,ripi2d,22
538,peli,2,g,peli2g,27
540,hase,2,a,hase2a,22
541,jasc,2,g,jasc2g,13
543,olst,2,g,olst2g,17
546,eute,2,d,eute2d,14
548,jasc,2,h,jasc2h,18
549,peli,2,f,peli2f,26
550,anba,2,k,anba2k,29
556,ANBA,2,4,ANBA24,21
560,baae,2,f,baae2f,15
562,penu,2,d,penu2d,24
565,eusc,2,i,eusc2i,22
569,eute,2,e,eute2e,15
574,JASC,2,9,JASC29,26
578,baae,2,a,baae2a,27
583,olst,2,h,olst2h,27
588,MEDE,2,3,MEDE23,19
596,ripi,2,b,ripi2b,19
599,eusc,2,e,eusc2e,15
609,eute,2,g,eute2g,6
610,peli,2,e,peli2e,24
622,LEPA,2,5,LEPA25,6
625,EUSC,2,9,EUSC29,8
632,hase,2,l,hase2l,26
635,acel,2,i,acel2i,4
636,alli,2,d,alli2d,30
637,baae,2,l,baae2l,28
639,baae,2,o,baae2o,21
641,pepu,2,b,pepu2b,14
644,EUSC,2,16,EUSC216,24
646,LEPA,2,4,LEPA24,14
650,EXCU,2,5,EXCU25,14
652,anba,2,c,anba2c,7
660,mede,2,l,mede2l,17
669,peli,2,j,peli2j,6
671,penu,2,m,penu2m,22
673,acel,2,h,acel2h,11
677,isan,2,e,isan2e,30
680,hase,2,c,hase2c,12
686,hase,2,g,hase2g,2
688,eusc,2,g,eusc2g,14
690,basp,2,h,basp2h,1
695,PELI,2,4,PELI24,30
697,lepa,2,h,lepa2h,25
705,pepu,2,g,pepu2g,6
712,EUTE,2,3,EUTE23,6
713,MEDE,2,7,MEDE27,5
715,hase,2,b,hase2b,21
716,penu,2,a,penu2a,7
718,olst,2,c,olst2c,15
720,anba,2,a,anba2a,1
721,penu,2,c,penu2c,18
728,excu,2,b,excu2b,28
729,BAAE,2,15,BAAE215,23
730,anba,2,e,anba2e,16
732,basp,2,m,basp2m,24
744,pepu,2,i,pepu2i,24
750,olst,2,f,olst2f,6
752,jasc,2,e,jasc2e,1
757,peli,2,d,peli2d,17
761,olst,2,a,olst2a,29
763,peli,2,h,peli2h,10
764,MEDE,2,4,MEDE24,9
765,BAAE,2,12,BAAE212,5
768,acel,2,d,acel2d,2
771,isan,2,f,isan2f,12
772,peli,2,l,peli2l,16
773,JASC,2,19,JASC219,22
776,eusc,2,h,eusc2h,4
779,alli,2,g,alli2g,8
783,cali,2,d,cali2d,16
791,pepu,2,d,pepu2d,1
795,penu,2,f,penu2f,27
799,eusc,2,a,eusc2a,28
801,lepa,2,d,lepa2d,21
807,EXCU,2,4,EXCU24,7
815,penu,2,g,penu2g,21
817,baae,2,g,baae2g,9
828,lepa,2,b,lepa2b,9
830,anba,2,d,anba2d,17
832,pepu,2,e,pepu2e,16
838,eusc,2,k,eusc2k,26
844,PEPU,2,2,PEPU22,19
845,peli,2,a,peli2a,2
846,eusc,2,b,eusc2b,12
847,excu,2,h,excu2h,3
850,mede,2,g,mede2g,27
852,ripi,2,a,ripi2a,12
855,ripi,2,k,ripi2k,16
857,cali,2,c,cali2c,3
859,PELI,2,2,PELI22,13
861,EUTE,2,2,EUTE22,18
863,jasc,2,j,jasc2j,24
864,isan,2,a,isan2a,29
874,PEPU,2,11,PEPU211,22
876,penu,2,b,penu2b,19
878,ripi,2,j,ripi2j,24
881,ALLI,2,1,ALLI21,6
894,JASC,2,4,JASC24,15
895,LEPA,2,1,LEPA21,22
897,baae,2,m,baae2m,18
901,jasc,2,d,jasc2d,25
905,isan,2,c,isan2c,28
908,jasc,2,b,jasc2b,2
912,pepu,2,j,pepu2j,3
918,PEPU,2,8,PEPU28,1
924,MEDE,2,1,MEDE21,3
927,excu,2,c,excu2c,20
929,baae,2,i,baae2i,7
934,eusc,2,j,eusc2j,19
935,ALLI,2,7,ALLI27,16
937,EUSC,2,10,EUSC210,4
942,alli,2,j,alli2j,18
947,anba,2,l,anba2l,11
948,mede,2,f,mede2f,12
950,basp,2,i,basp2i,11
955,pepu,2,l,pepu2l,20
962,baae,2,j,baae2j,30
963,BAAE,2,7,BAAE27,30
966,basp,2,b,basp2b,2
967,hase,2,d,hase2d,14
968,cali,2,h,cali2h,26
969,acel,2,l,acel2l,5
971,cali,2,f,cali2f,24
972,PEPU,2,13,PEPU213,3
976,ripi,2,f,ripi2f,11
979,penu,2,k,penu2k,12
989,cali,2,e,cali2e,15
991,cota,2,g,cota2g,29
994,baae,2,h,baae2h,17
996,excu,2,e,excu2e,4
1001,PEPU,2,5,PEPU25,10
1008,baae,2,n,baae2n,25
1013,cali,2,j,cali2j,21
1015,hase,2,j,hase2j,5
1016,PELI,2,1,PELI21,6
1018,lepa,2,i,lepa2i,5
9,alli,3,d,alli3d,11
15,ripi,3,i,ripi3i,7
17,acpa,3,e,acpa3e,24
18,cota,3,a,cota3a,21
19,ALLI,3,16,ALLI316,7
22,jasc,3,i,jasc3i,8
28,baae,3,i,baae3i,1
30,hase,3,i,hase3i,24
31,EUTE,3,7,EUTE37,26
33,eusc,3,j,eusc3j,24
38,BAAE,3,8,BAAE38,18
39,mede,3,g,mede3g,8
40,cali,3,e,cali3e,29
41,leer,3,a,leer3a,25
42,lepa,3,a,lepa3a,24
48,eusc,3,i,eusc3i,18
51,cota,3,d,cota3d,4
54,PELI,3,3,PELI33,19
62,ALLI,3,15,ALLI315,5
63,hase,3,f,hase3f,11
65,cali,3,f,cali3f,6
74,baae,3,b,baae3b,3
85,JASC,3,11,JASC311,24
87,cali,3,l,cali3l,17
91,eute,3,f,eute3f,11
98,peli,3,l,peli3l,12
100,basp,3,c,basp3c,28
101,hase,3,d,hase3d,10
102,BAAE,3,16,BAAE316,9
106,cota,3,b,cota3b,5
112,lepa,3,i,lepa3i,15
114,baae,3,h,baae3h,6
117,cali,3,j,cali3j,4
118,BAAE,3,2,BAAE32,28
120,JASC,3,18,JASC318,10
121,penu,3,c,penu3c,16
123,acpa,3,i,acpa3i,19
124,JASC,3,6,JASC36,16
126,cali,3,a,cali3a,1
128,MEDE,3,11,MEDE311,4
133,eusc,3,c,eusc3c,16
136,excu,3,g,excu3g,18
142,eute,3,d,eute3d,1
147,anba,3,a,anba3a,14
149,acpa,3,d,acpa3d,5
151,lepa,3,e,lepa3e,18
158,basp,3,m,basp3m,10
162,peli,3,c,peli3c,20
163,EUTE,3,18,EUTE318,28
165,mede,3,k,mede3k,9
166,EUTE,3,1,EUTE31,3
167,ACPA,3,11,ACPA311,6
168,anba,3,e,anba3e,19
176,peli,3,h,peli3h,4
177,lepa,3,d,lepa3d,1
179,pepu,3,j,pepu3j,25
184,acpa,3,k,acpa3k,16
185,ANBA,3,15,ANBA315,24
186,BAAE,3,5,BAAE35,7
187,hase,3,e,hase3e,4
189,PELI,3,11,PELI311,1
192,mede,3,f,mede3f,22
193,ANBA,3,11,ANBA311,4
198,LEPA,3,7,LEPA37,5
199,LEPA,3,11,LEPA311,17
203,PEPU,3,4,PEPU34,17
207,basp,3,h,basp3h,30
210,EUSC,3,1,EUSC31,3
211,eute,3,i,eute3i,10
218,ANBA,3,8,ANBA38,9
224,acpa,3,c,acpa3c,10
228,eute,3,j,eute3j,28
229,excu,3,f,excu3f,10
235,PELI,3,6,PELI36,24
237,ANBA,3,16,ANBA316,11
239,acpa,3,b,acpa3b,12
247,MEDE,3,4,MEDE34,15
250,jasc,3,b,jasc3b,27
253,EUSC,3,5,EUSC35,13
254,JASC,3,19,JASC319,1
259,ANBA,3,9,ANBA39,15
263,EUTE,3,12,EUTE312,2
264,JASC,3,4,JASC34,13
272,PELI,3,13,PELI313,11
273,ripi,3,g,ripi3g,18
281,ripi,3,l,ripi3l,14
283,isan,3,d,isan3d,3
285,isan,3,b,isan3b,16
287,pepu,3,i,pepu3i,26
290,ripi,3,b,ripi3b,30
291,lepa,3,h,lepa3h,29
298,lepa,3,f,lepa3f,27
302,pepu,3,l,pepu3l,13
304,olst,3,a,olst3a,14
306,isan,3,c,isan3c,6
314,BAAE,3,3,BAAE33,20
317,BAAE,3,14,BAAE314,19
328,eute,3,g,eute3g,12
329,jasc,3,e,jasc3e,5
332,peli,3,k,peli3k,22
334,olst,3,b,olst3b,23
336,cali,3,k,cali3k,11
343,ALLI,3,13,ALLI313,28
349,PEPU,3,6,PEPU36,24
354,JASC,3,16,JASC316,5
373,MEDE,3,3,MEDE33,28
382,MEDE,3,13,MEDE313,17
385,basp,3,a,basp3a,19
393,anba,3,h,anba3h,26
394,EUTE,3,17,EUTE317,25
399,EUTE,3,10,EUTE310,17
402,basp,3,j,basp3j,25
404,ALLI,3,12,ALLI312,30
410,EUTE,3,16,EUTE316,7
415,acpa,3,f,acpa3f,6
417,baae,3,d,baae3d,16
420,isan,3,e,isan3e,18
422,excu,3,a,excu3a,15
425,eute,3,e,eute3e,21
427,ACPA,3,1,ACPA31,18
430,eusc,3,k,eusc3k,21
432,basp,3,i,basp3i,7
433,pepu,3,a,pepu3a,27
434,peli,3,b,peli3b,23
441,ACPA,3,6,ACPA36,5
451,excu,3,j,excu3j,22
452,ripi,3,c,ripi3c,2
453,ALLI,3,11,ALLI311,24
454,ALLI,3,8,ALLI38,3
457,PEPU,3,8,PEPU38,12
459,ripi,3,k,ripi3k,23
461,EXCU,3,11,EXCU311,28
463,BAAE,3,1,BAAE31,16
465,PELI,3,1,PELI31,28
466,hase,3,l,hase3l,27
469,anba,3,i,anba3i,15
473,mede,3,h,mede3h,5
476,LEPA,3,2,LEPA32,19
486,baae,3,e,baae3e,20
489,acpa,3,a,acpa3a,11
493,acpa,3,l,acpa3l,2
499,isan,3,a,isan3a,15
500,ANBA,3,1,ANBA31,8
503,LEPA,3,8,LEPA38,13
504,peli,3,i,peli3i,28
509,EUTE,3,4,EUTE34,11
510,ripi,3,d,ripi3d,5
511,MEDE,3,12,MEDE312,26
512,basp,3,k,basp3k,29
513,hase,3,k,hase3k,1
514,LEPA,3,3,LEPA33,8
515,ripi,3,j,ripi3j,13
518,cali,3,b,cali3b,7
521,ACPA,3,15,ACPA315,7
522,ACPA,3,9,ACPA39,21
526,ACPA,3,10,ACPA310,29
529,eusc,3,a,eusc3a,25
531,baae,3,a,baae3a,19
542,EXCU,3,3,EXCU33,15
554,ACPA,3,3,ACPA33,20
555,ripi,3,h,ripi3h,27
558,pepu,3,g,pepu3g,2
559,EXCU,3,7,EXCU37,22
563,ALLI,3,4,ALLI34,18
567,pepu,3,b,pepu3b,12
570,hase,3,c,hase3c,15
571,EUSC,3,4,EUSC34,6
579,hase,3,b,hase3b,7
580,BAAE,3,9,BAAE39,4
581,BAAE,3,11,BAAE311,2
582,mede,3,j,mede3j,14
589,BAAE,3,15,BAAE315,27
590,PEPU,3,5,PEPU35,8
591,basp,3,g,basp3g,18
592,jasc,3,d,jasc3d,23
593,peli,3,g,peli3g,19
594,eute,3,c,eute3c,29
597,ACPA,3,14,ACPA314,11
598,excu,3,k,excu3k,29
603,JASC,3,5,JASC35,17
604,excu,3,c,excu3c,13
606,cali,3,c,cali3c,12
611,EUTE,3,13,EUTE313,13
617,EUSC,3,12,EUSC312,27
620,penu,3,g,penu3g,6
621,EXCU,3,8,EXCU38,8
623,EUTE,3,3,EUTE33,8
630,ripi,3,f,ripi3f,10
631,excu,3,e,excu3e,21
634,mede,3,b,mede3b,19
640,pepu,3,f,pepu3f,11
642,ACPA,3,5,ACPA35,12
643,MEDE,3,10,MEDE310,10
645,jasc,3,h,jasc3h,28
648,mede,3,i,mede3i,29
649,PELI,3,4,PELI34,5
