Name,Comments,Mass,Nitrogen %,Carbon %
peli3,jeff powell diversity rot plot aug 2013,0.1551,0.17158,51.19
Cali pooled,jeff powell diversity rot plot aug 2013,0.1516,0.12946,50.82
alli2,jeff powell diversity rot plot aug 2013,0.1544,0.26827,50.118
eute3,jeff powell diversity rot plot aug 2013,0.1552,0.87475,49.681
acpa4,jeff powell diversity rot plot aug 2013,0.1536,0.6114,49.266
peli2,jeff powell diversity rot plot aug 2013,0.151,0.16101,51.076
JASC3,jeff powell diversity rot plot aug 2013,0.1511,0.54278,51.892
PEPU3,jeff powell diversity rot plot aug 2013,0.1509,0.08547,50.26
mede3,jeff powell diversity rot plot aug 2013,0.1515,0.47695,50.954
excu3,jeff powell diversity rot plot aug 2013,0.1532,0.39841,51.739
MEDE2,jeff powell diversity rot plot aug 2013,0.1507,0.37142,51.921
LEPA4,jeff powell diversity rot plot aug 2013,0.1568,0.26845,52.875
PELI1,jeff powell diversity rot plot aug 2013,0.1535,0.14047,53.699
lepa4,jeff powell diversity rot plot aug 2013,0.1557,0.39087,48.377
pepu1,jeff powell diversity rot plot aug 2013,0.1548,0.12466,51.787
PEPU2,jeff powell diversity rot plot aug 2013,0.1557,0.07292,50.623
acpa2,jeff powell diversity rot plot aug 2013,0.1506,0.57882,50.659
MEDE1,jeff powell diversity rot plot aug 2013,0.1538,0.36504,52.878
JASC1,jeff powell diversity rot plot aug 2013,0.1552,0.53029,51.217
lepa2,jeff powell diversity rot plot aug 2013,0.1511,0.3367,53.577
PELI3,jeff powell diversity rot plot aug 2013,0.1559,0.13315,53.358
acelextrapooled,jeff powell diversity rot plot aug 2013,0.1561,0.68338,50.635
MEDE3,jeff powell diversity rot plot aug 2013,0.1528,0.35149,52.116
PEPU1,jeff powell diversity rot plot aug 2013,0.1567,0.09027,50.428
eute1,jeff powell diversity rot plot aug 2013,0.1554,0.21475,51.099
lepa3,jeff powell diversity rot plot aug 2013,0.1541,0.32198,51.022
mede1,jeff powell diversity rot plot aug 2013,0.1526,0.44914,52.419
JASC2,jeff powell diversity rot plot aug 2013,0.1556,0.69339,52.471
eute2,jeff powell diversity rot plot aug 2013,0.1531,0.23504,50.656
pepu2,jeff powell diversity rot plot aug 2013,0.1562,0.10873,49.979
acpa1,jeff powell diversity rot plot aug 2013,0.1511,0.58651,50.675
baae1,jeff powell diversity rot plot aug 2013,0.1547,0.26119,51.547
PELI2,jeff powell diversity rot plot aug 2013,0.1541,0.14581,51.76
baae3,jeff powell diversity rot plot aug 2013,0.1532,0.16193,52.365
mede2,jeff powell diversity rot plot aug 2013,0.153,0.50135,51.83
acpa3,jeff powell diversity rot plot aug 2013,0.1553,0.52475,52.133
alli3,jeff powell diversity rot plot aug 2013,0.1527,0.38382,49.589
peli1,jeff powell diversity rot plot aug 2013,0.1525,0.27355,51.49
excu1,jeff powell diversity rot plot aug 2013,0.1541,0.32444,49.278
baae2,jeff powell diversity rot plot aug 2013,0.1518,0.13336,50.939
excu2,jeff powell diversity rot plot aug 2013,0.1536,0.32585,50.7
anba2,jeff powell diversity rot plot aug 2013,0.1512,0.32513,49.834
alli1,jeff powell diversity rot plot aug 2013,0.1516,0.38309,49.975
isanpooled,jeff powell diversity rot plot aug 2013,0.1516,0.06088,49.588
ripipooled,jeff powell diversity rot plot aug 2013,0.1557,0.40369,49.998
acelA,jeff powell diversity rot plot aug 2013,0.1524,0.81398,51.72
anba3,jeff powell diversity rot plot aug 2013,0.1521,0.38488,50.292
leerpooled,jeff powell diversity rot plot aug 2013,0.1512,0.26946,49.98
jasc1,jeff powell diversity rot plot aug 2013,0.1521,0.84108,50.929
Olstpooled,jeff powell diversity rot plot aug 2013,0.152,0.23319,47.673
penupooled,jeff powell diversity rot plot aug 2013,0.1563,0.14458,48.732
Basppooled,jeff powell diversity rot plot aug 2013,0.1521,0.18218,51.316
haseB,jeff powell diversity rot plot aug 2013,0.1517,0.12398,49.118
hasepooled,jeff powell diversity rot plot aug 2013,0.1551,0.10477,48.961
jasc3,jeff powell diversity rot plot aug 2013,0.155,0.72998,51.814
jasc2,jeff powell diversity rot plot aug 2013,0.1521,0.83169,51.422
cotapooled,jeff powell diversity rot plot aug 2013,0.1561,0.25475,50.518
pepu3,jeff powell diversity rot plot aug 2013,0.1508,0.13969,53.284
LEPA1,jeff powell diversity rot plot aug 2013,0.1527,0.22615,53.702
EUTE2,jeff powell diversity rot plot aug 2013,0.1534,0.19414,51.031
LEPA3,jeff powell diversity rot plot aug 2013,0.1532,0.24644,53.609
BAAE2,jeff powell diversity rot plot aug 2013,0.1541,0.15909,50.865
EXCU3,jeff powell diversity rot plot aug 2013,0.1526,0.19666,51.088
LEPA2,jeff powell diversity rot plot aug 2013,0.1544,0.25163,54.214
EUTE3,jeff powell diversity rot plot aug 2013,0.1553,0.22359,52.978
EXCU2,jeff powell diversity rot plot aug 2013,0.1511,0.18737,50.162
ANBA2,jeff powell diversity rot plot aug 2013,0.1537,0.24054,49.233
EUSC3,jeff powell diversity rot plot aug 2013,0.1541,0.16416,51.023
ACPA4,jeff powell diversity rot plot aug 2013,0.1515,0.2571,49.308
ALLI2,jeff powell diversity rot plot aug 2013,0.1559,0.17376,50.18
ANBA3,jeff powell diversity rot plot aug 2013,0.1509,0.30109,49.839
ANBA1,jeff powell diversity rot plot aug 2013,0.1516,0.35367,49.001
BAAE1,jeff powell diversity rot plot aug 2013,0.1531,0.14357,51.658
EXCU1,jeff powell diversity rot plot aug 2013,0.1519,0.20795,50.003
EUTE1,jeff powell diversity rot plot aug 2013,0.1544,0.28168,52.815
ALLI1,jeff powell diversity rot plot aug 2013,0.1519,0.19199,50.028
EUSC1,jeff powell diversity rot plot aug 2013,0.1519,0.19239,50.26
ALLI3,jeff powell diversity rot plot aug 2013,0.1546,0.17524,49.975
EUSC2,jeff powell diversity rot plot aug 2013,0.156,0.21352,50.348
ACPA1,jeff powell diversity rot plot aug 2013,0.152,0.22755,49.082
BAAE3,jeff powell diversity rot plot aug 2013,0.1561,0.10229,50.825
ACPA3,jeff powell diversity rot plot aug 2013,0.1549,0.2791,49.789
