SamplingDate,SampleType,StemSize,StemCode,Site,Age,Treatment,Plot,Tree,Harvest,SampleCode,TubeID,ExtractionDate,mgSample,NextGenID,NucleicAcidConc,260/280,260/230,VolWater ,VolDNA,PlateNumber,WellNumber ,SubmittedNucleicAcidConc,Chemistry,Pos,Na        ,Mg        ,Al       ,P         ,K       ,Ca      ,Mn      ,Fe      ,Cu    ,Zn      ,Ag      ,S         ,Cl        ,Si      
August2013,woodshaving,large,JASC3,NA,NA,NA,NA,NA,NA,JASC3,19,8/07/16,62.00,JRP-RP13-L-19,34.6,1.98,1.27,21.3,8.7,1,C3,10,yes,5,9633.57,-4887.75,376.738,92.646,153.057,546.383,98.056,44.134,3.019,4.13,658.112,-604.705,464.383,0.028
August2013,woodshaving,large,BAAE1,NA,NA,NA,NA,NA,NA,BAAE1,20,15/07/16,62.40,JRP-RP13-L-20,1.6,3.27,0.79,0.0,30.0,1,D3,1.6,yes,10,180.98,1089.352,189.63,162.136,1401.735,2083.124,243.104,24.304,3.554,5.175,743.553,-291.317,3146.395,0.029
August2013,woodshaving,large,BAAE2,NA,NA,NA,NA,NA,NA,BAAE2,21,11/07/16,62.10,JRP-RP13-L-21,4,1.45,0.17,0.0,30.0,1,E3,4,yes,1,809.612,718.449,179.005,153.557,1428.794,991.282,138.715,18.862,2.887,3.577,654.174,-453.991,2963.504,0.021
August2013,woodshaving,large,BAAE3,NA,NA,NA,NA,NA,NA,BAAE3,22,15/07/16,61.50,JRP-RP13-L-22,9.6,2.18,0.86,0.0,30.0,1,F3,9.6,yes,2,615.118,812.828,166.543,219.325,1504.828,1106.806,101.034,33.744,3.746,2.964,863.354,-402.337,2721.934,-0.012
August2013,woodshaving,large,PEPU1,NA,NA,NA,NA,NA,NA,PEPU1,23,15/07/16,57.50,JRP-RP13-L-23,3.1,3.04,0.22,0.0,30.0,1,G3,3.1,yes,6,38.21,921.608,125.301,163.298,584.223,1115.671,38.325,73.293,2.621,215.66,454.292,-739.149,1514.535,0.099
August2013,woodshaving,large,PEPU2,NA,NA,NA,NA,NA,NA,PEPU2,24,8/07/16,61.00,JRP-RP13-L-24,8.1,2.18,1.49,0.0,30.0,1,H3,8.1,yes,7,2056.394,-97.462,144.17,-8.276,383.677,720.669,32.751,34.5,1.939,16.799,560.337,-784.826,605.625,0.112
August2013,woodshaving,large,PEPU3,NA,NA,NA,NA,NA,NA,PEPU3,25,15/07/16,65.30,JRP-RP13-L-25,9.4,2.13,1.39,0.0,30.0,1,A4,9.4,yes,8,3149.358,-64.41,142.925,44.679,431.185,1009.234,49.011,32.177,1.68,46.829,685.97,-717.649,965.302,0.055
August2013,woodshaving,large,ACPA1,NA,NA,NA,NA,NA,NA,ACPA1,26,8/07/16,63.00,JRP-RP13-L-26,8.7,1.89,1.57,0.0,30.0,1,B4,8.7,yes,1,837.014,391.081,114.915,38.891,703.436,2000.233,5.382,28.578,1.65,3.387,511.658,-744.383,87.6,0.087
August2013,woodshaving,large,ACPA3,NA,NA,NA,NA,NA,NA,ACPA3,27,8/07/16,55.00,JRP-RP13-L-27,48.9,1.98,2.02,23.9,6.1,1,C4,10,yes,2,-423.342,542.471,180.798,134.141,634.743,3919.241,2.876,13.768,2.597,1.982,642.969,-803.954,237.089,0.013
August2013,woodshaving,large,ACPA4,NA,NA,NA,NA,NA,NA,ACPA4,28,8/07/16,63.00,JRP-RP13-L-28,13.5,1.69,0.56,7.8,22.2,1,D4,10,yes,3,-657.101,1060.094,122.011,52.945,895.734,3990.244,5.77,29.599,2.074,5.371,543.996,-754.144,291.757,0.01
August2013,woodshaving,large,ALLI1,NA,NA,NA,NA,NA,NA,ALLI1,29,15/07/16,61.30,JRP-RP13-L-29,23.7,2.11,1.99,17.3,12.7,1,E4,10,yes,4,-3119.86,1355.448,81.404,68.466,1280.411,4258.507,30.63,29.98,1.589,22.1,296.992,-652.024,673.902,0.067
August2013,woodshaving,large,ALLI2,NA,NA,NA,NA,NA,NA,ALLI2,30,8/07/16,65.00,JRP-RP13-L-30,33,1.88,1.25,20.9,9.1,1,F4,10,yes,5,-887.739,1067.789,138.415,30.378,355.148,5166.154,69.235,37.119,1.621,51.262,514.319,-574.01,319.948,0.009
August2013,woodshaving,large,ALLI3,NA,NA,NA,NA,NA,NA,ALLI3,31,8/07/16,62.00,JRP-RP13-L-31,19,1.79,0.78,14.2,15.8,1,G4,10,yes,6,-1863.14,1310.742,141.904,35.215,692.237,5102.345,78.925,39.442,1.937,34.654,478.019,-661.88,724.228,0.006
August2013,woodshaving,large,EXCU1,NA,NA,NA,NA,NA,NA,EXCU1,32,8/07/16,65.00,JRP-RP13-L-32,7.2,1.49,0.56,0.0,30.0,1,H4,7.2,yes,9,-286.096,709.983,150.209,125.036,1827.75,3489.638,72.834,12.811,4.273,8.651,817.451,-544.615,2132.786,-0.006
August2013,woodshaving,large,EXCU2,NA,NA,NA,NA,NA,NA,EXCU2,33,8/07/16,56.00,JRP-RP13-L-33,22.5,1.94,1.54,16.7,13.3,1,A5,10,yes,1,-817.185,822.071,139.89,78.654,2012.923,4065.779,57.534,12.935,2.57,5.387,491.764,-163.166,1307.394,-0.011
August2013,woodshaving,large,EXCU3,NA,NA,NA,NA,NA,NA,EXCU3,34,8/07/16,62.00,JRP-RP13-L-34,28.1,1.92,1.18,19.3,10.7,1,B5,10,yes,2,-983.594,740.648,125.158,117.967,2496.805,4694.042,69.223,10.931,2.193,5.818,504.188,2.24,1447.15,0.029
August2013,woodshaving,large,MEDE1,NA,NA,NA,NA,NA,NA,MEDE1,35,8/07/16,56.00,JRP-RP13-L-35,9.1,1.82,0.62,0.0,30.0,1,C5,9.1,yes,10,1733.73,203.005,138.717,60.346,612.558,708.186,64.145,30.484,2.388,6.096,438.156,-488.692,2293.536,0.138
August2013,woodshaving,large,MEDE2,NA,NA,NA,NA,NA,NA,MEDE2,36,8/07/16,56.00,JRP-RP13-L-36,19.1,1.77,0.92,14.3,15.7,1,D5,10,yes,1,2777.336,56.783,170.543,35.868,306.984,620.143,44.729,20.76,1.705,4.756,365.948,-485.886,2280.691,0.158
August2013,woodshaving,large,MEDE3,NA,NA,NA,NA,NA,NA,MEDE3,37,8/07/16,59.00,JRP-RP13-L-37,13.7,1.58,0.52,8.1,21.9,1,E5,10,yes,2,2097.001,50.137,190.498,56.351,395.676,701.64,62.73,42.178,3.352,1.184,605.828,-523.562,3914.432,0.148
August2013,woodshaving,small,acpa4,NA,NA,NA,NA,NA,NA,acpa4,1,2/09/16,178.00,JPR-RP13-S-1,20.9,2.06,1.79,15.6,14.4,1,F5,10,yes,10,-1945.04,1491.732,132.285,93.201,1808.684,7965.577,47.768,4196.587,6.501,19.545,392.995,-318.301,1200.97,-0.015
August2013,woodshaving,small,alli2,NA,NA,NA,NA,NA,NA,alli2,2,2/09/16,215.00,JPR-RP13-S-2,15.5,2.07,2.18,10.6,19.4,1,G5,10,yes,2,-555.391,666.486,132.621,157.191,1677.871,8405.048,128.658,2664.666,2.751,19.873,553.738,-338.866,650.92,0.017
August2013,woodshaving,small,alli3,NA,NA,NA,NA,NA,NA,alli3,3,26/08/16,117.00,JPR-RP13-S-3,12.3,2.14,2.32,5.6,24.4,1,H5,10,yes,7,-683.914,1436.753,107.409,463.275,2727.003,8748.933,124.682,1740.35,5.414,12.222,533.359,-486.141,847.276,0.043
August2013,woodshaving,small,anba2,NA,NA,NA,NA,NA,NA,anba2,4,2/09/16,193.00,JPR-RP13-S-4,19.6,2.17,1.73,14.7,15.3,1,A6,10,yes,10,-1738.15,1438.005,128.947,94.067,2708.699,3851.014,126.693,1253.414,8.561,36.354,576.632,-555.896,2414.649,0.021
August2013,woodshaving,small,anba3,NA,NA,NA,NA,NA,NA,anba3,5,26/08/16,129.00,JPR-RP13-S-5,11.2,2.06,1.67,3.2,26.8,1,B6,10,yes,9,-1559.42,1508.498,126.59,103.758,3719.712,9609.697,210.916,10649.82,9.407,70.245,485.931,-490.833,2015.154,-0.014
August2013,woodshaving,small,baae1,NA,NA,NA,NA,NA,NA,baae1,6,2/09/16,216.00,JPR-RP13-S-6,24.3,2.02,1.53,17.7,12.3,1,C6,10,yes,9,15.244,771.949,161.117,40.513,1783.698,3043.13,407.7,484.221,4.658,4.436,465.695,-164.762,1209.45,0.038
August2013,woodshaving,small,baae2,NA,NA,NA,NA,NA,NA,baae2,7,2/09/16,220.00,JPR-RP13-S-7,4.9,3.08,1.59,0.0,30.0,1,D6,4.9,yes,4,531.018,377.479,212.527,-0.171,2039.61,1121.648,121.862,1930.762,4.023,3.314,571.352,-417.066,948.938,0.073
August2013,woodshaving,small,eute3,NA,NA,NA,NA,NA,NA,eute3,8,2/09/16,185.00,JPR-RP13-S-8,45.8,1.91,1.7,23.4,6.6,1,E6,10,yes,3,189.071,987.898,223.982,494.146,2133.337,8840.544,1237.038,838.755,5.507,26.355,430.93,-224.951,4330.453,-0.026
August2013,woodshaving,small,excu2,NA,NA,NA,NA,NA,NA,excu2,9,26/08/16,133.00,JPR-RP13-S-9,19.1,1.91,2.25,14.3,15.7,1,F6,10,yes,4,-1570.6,1056.453,100.084,152.097,4082.97,3024.044,95.783,571.33,3.012,19.104,450.045,-45.573,1688.341,0.015
August2013,woodshaving,small,jasc3,NA,NA,NA,NA,NA,NA,jasc3,10,2/09/16,163.00,JPR-RP13-S-10,18.6,1.99,1.9,13.9,16.1,1,G6,10,yes,8,2957.142,-668.033,183.631,147.787,969.769,450.052,88.507,6038.189,4.73,9.516,513.144,-495.436,1705.379,0.017
August2013,woodshaving,small,lepa3,NA,NA,NA,NA,NA,NA,lepa3,11,26/08/16,114.00,JPR-RP13-S-11,7.4,1.78,0.37,0.0,30.0,1,H6,7.4,yes,1,1979.234,346.261,194.965,45.186,239.424,1884.609,139.355,1597.992,6.346,6.585,654.188,545.842,740.786,0.046
August2013,woodshaving,small,mede1,NA,NA,NA,NA,NA,NA,mede1,12,2/09/16,164.00,JPR-RP13-S-12,20.6,1.93,0.88,15.4,14.6,1,A7,10,yes,3,151.427,633.292,151.376,61.462,827.173,2509.151,232.585,406.356,3.005,25.226,605.44,-339.857,1833.397,0.185
August2013,woodshaving,small,mede2,NA,NA,NA,NA,NA,NA,mede2,13,26/08/16,115.00,JPR-RP13-S-13,5.1,2.76,3.02,0.0,30.0,1,B7,5.1,yes,2,400.225,1062.834,207.527,79.593,749.61,3048.462,295.21,903.039,5.761,36.625,737.45,-36.017,3108.202,0.1
August2013,woodshaving,small,peli1,NA,NA,NA,NA,NA,NA,peli1,14,2/09/16,192.00,JPR-RP13-S-14,15.5,2.04,1.61,10.6,19.4,1,C7,10,yes,6,673.537,746.923,123.225,178.932,1019.993,657.279,96.045,3605.033,4.98,39.67,487.722,-596.865,1453.516,0.078
August2013,woodshaving,small,peli2,NA,NA,NA,NA,NA,NA,peli2,15,2/09/16,163.00,JPR-RP13-S-15,13,2.13,0.71,6.9,23.1,1,D7,10,yes,6,2166.592,7.233,141.231,140.347,673.063,776.166,169.421,748.054,2.332,16.666,479.141,-727.178,299.931,0.068
August2013,woodshaving,small,pepu1,NA,NA,NA,NA,NA,NA,pepu1,16,2/09/16,215.00,JPR-RP13-S-16,11.5,2.3,0.91,3.9,26.1,1,E7,10,yes,7,1329.6,521.718,117.437,138.116,272.222,1276.95,76.1,3072.226,3.15,170.274,625.214,-699.47,1208.159,0.128
August2013,woodshaving,small,baspA,NA,NA,NA,NA,NA,NA,baspA,17,31/08/16_AM,160.00,JPR-RP13-S-17,6.9,1.91,0.78,0.0,30.0,1,F7,6.9,no,,,,,,,,,,,,,,,
