SamplingDate,SampleType,StemSize,StemCode,Site,Age,Treatment,Plot,Tree,Harvest,SampleCode,TubeID,ExtractionDate,mgSample,NextGenID,NucleicAcidConc,260/280,260/230,VolWater ,VolDNA,PlateNumber,WellNumber ,SubmittedNucleicAcidConc,Chemistry,Pos,Na        ,Mg        ,Al       ,P         ,K       ,Ca      ,Mn      ,Fe      ,Cu    ,Zn      ,Ag      ,S         ,Cl        ,Si      
August2013,woodshaving,small,acpa1,NA,NA,NA,NA,NA,NA,acpa1,45,31/08/16_PM,124.00,JPR-RP13-S-45,14.6,1.89,1.96,9.5,20.5,1,B11,10,yes,4,-113.583,1137.419,121.461,67.434,2226.222,3519.951,55.388,4696.219,5.993,13.509,812.293,-573.91,1038.584,0.003
August2013,woodshaving,small,pepu2,NA,NA,NA,NA,NA,NA,pepu2,46,31/08/16_PM,157.00,JPR-RP13-S-46,3.3,2.55,0.98,0.0,30.0,1,C11,3.3,yes,9,899.689,697.162,116.521,28.223,444.298,1271.054,71.929,1676.815,3.651,16.815,529.316,-623.169,1050.503,0.132
August2013,woodshaving,small,eute1,NA,NA,NA,NA,NA,NA,eute1,47,31/08/16_PM,199.00,JPR-RP13-S-47,10.4,2.03,1.14,1.2,28.8,1,D11,10,yes,8,-1890.25,2270.943,97.745,109.591,1628.341,4571.284,243.6,2022.97,5.479,35.65,645.595,-631.975,1548.967,0.019
August2013,woodshaving,small,baae3,NA,NA,NA,NA,NA,NA,baae3,48,31/08/16_PM,180.00,JPR-RP13-S-48,11.6,2.05,1.02,4.1,25.9,1,E11,10,yes,6,233.398,1209.868,137.115,169.073,1503.253,1678.943,287.755,1914.095,5.986,6.591,806.837,-23.577,1408.066,0.06
August2013,woodshaving,small,hase,NA,NA,NA,NA,NA,NA,hase,49,31/08/16_PM,180.00,JPR-RP13-S-49,4.2,2.05,1.28,0.0,30.0,1,F11,4.2,yes,10,253.688,1138.538,121.671,67.727,676.722,1208.726,121.211,3054.778,2.321,11.417,521.409,-279.282,1031.055,0.068
August2013,woodshaving,small,olst,NA,NA,NA,NA,NA,NA,olst,50,15/09/16,457.00,JPR-RP13-S-50,14.2,1.98,1.17,8.9,21.1,1,G11,10,yes,5,-73.603,537.922,201.681,83.578,5014.116,2171.139,134.944,8589.504,5.445,40.831,548.102,-618.703,5638.406,-0.034
August2013,woodshaving,small,leer,NA,NA,NA,NA,NA,NA,leer,51,15/09/16,393.00,JPR-RP13-S-51,8.6,2.08,1.38,0.0,30.0,1,H11,8.6,yes,8,40.123,619.391,124.194,47.484,1022.312,3803.806,692.971,4339.512,3.951,20.355,589.227,-485.376,552.236,0.032
August2013,woodshaving,small,pepu3,NA,NA,NA,NA,NA,NA,pepu3,52,2/09/16,185.00,JPR-RP13-S-52,1.4,2.27,1.49,0.0,30.0,1,A12,1.4,yes,7,1847.331,165.715,124.79,14.106,111.16,1047.448,57.097,1620.023,3.788,10.458,455.249,-680.018,752.824,0.17
August2013,woodshaving,small,isan,NA,NA,NA,NA,NA,NA,isan,53,15/09/16,437.00,JPR-RP13-S-53,7.2,2.03,1.41,0.0,30.0,1,B12,7.2,yes,4,991.837,744.439,130.289,134.195,1257.07,1059.658,108.11,603.424,4.203,23.033,516.517,-847.708,1182.853,0.051
August2013,woodshaving,small,cali,NA,NA,NA,NA,NA,NA,cali,54,2/09/16,202.00,JPR-RP13-S-54,3.8,1.94,0.97,0.0,30.0,1,C12,3.8,yes,2,-728.592,882.816,111.033,-6.591,2011.128,1347.053,32.084,2024.275,2.179,5.258,448.144,-726.196,1529.441,0.053
August2013,woodshaving,small,ripi,NA,NA,NA,NA,NA,NA,ripi,55,2/09/16,206.00,JPR-RP13-S-55,11.5,2.01,1.75,3.9,26.1,1,D12,10,yes,5,-21.247,1446.15,137.495,18.119,3287.2,6532.354,162.635,3218.096,5.121,21.241,775.406,47.033,1902.805,0.003
August2013,woodshaving,small,cota,NA,NA,NA,NA,NA,NA,cota,56,2/09/16,185.00,JPR-RP13-S-56,4.1,2.55,0.59,0.0,30.0,1,E12,4.1,yes,3,1562.62,662.056,137.379,149.404,336.485,940.237,73.073,4755.687,4.125,71.377,542.659,-387.481,672.958,0.111
August2013,woodshaving,small,penu,NA,NA,NA,NA,NA,NA,penu,57,2/09/16,156.00,JPR-RP13-S-57,10.7,2.09,1.39,2.0,28.0,1,F12,10,yes,9,1331.362,639.128,104.548,311.485,1489.605,584.422,79.878,7401.437,3.981,22.762,576.84,-679.043,561.394,0.074
August2013,woodshaving,small,mede3,NA,NA,NA,NA,NA,NA,mede3,58,15/09/16,475.00,JPR-RP13-S-58,14.2,1.89,1.32,8.9,21.1,2,A1,10,yes,5,-92.744,777.195,134.358,-34.23,1293.507,3574.252,392.553,3373.399,4.39,22.224,487.798,-181.626,1851.465,0.185
August2013,woodshaving,small,excu1,NA,NA,NA,NA,NA,NA,excu1,59,2/09/16,191.00,JPR-RP13-S-59,21.5,2.01,1.73,16.0,14.0,2,B1,10,yes,9,-94.297,1001.552,112.674,211.753,6575.379,3871.536,115.689,728.684,5.576,11.014,723.422,174.98,2435.884,-0.011
August2013,woodshaving,small,acel,NA,NA,NA,NA,NA,NA,acel,60,2/09/16,206.00,JPR-RP13-S-60,2,2.66,1.16,0.0,30.0,2,C1,2,yes,3,-490.147,1282.102,109.174,14.364,706.544,3247.883,52.571,2526.168,3.297,10.235,485.291,-53.871,763.13,0.052
August2013,woodshaving,small,acpa2,NA,NA,NA,NA,NA,NA,acpa2,61,2/09/16,195.00,JPR-RP13-S-61,11.2,1.94,1.31,3.2,26.8,2,D1,10,yes,2,-1033.86,1231.807,164.972,78.423,1400.18,3397.019,38.376,3859.762,2.902,22.784,498.388,-626.884,961.725,0.011
August2013,woodshaving,small,jasc2,NA,NA,NA,NA,NA,NA,jasc2,62,2/09/16,185.00,JPR-RP13-S-62,6.1,2.09,1.24,0.0,30.0,2,E1,6.1,yes,2,987.182,416.007,176.251,127.654,1786.275,1230.208,254.524,3367.58,4.303,13.87,595.943,-285.411,1958.548,0.003
August2013,woodshaving,small,peli3,NA,NA,NA,NA,NA,NA,peli3,63,2/09/16,195.00,JPR-RP13-S-63,15.1,2.04,1.02,10.1,19.9,2,F1,10,yes,1,3403.951,-937.611,190.174,107.247,165.824,454.752,80.503,1283.232,3.428,7.905,533.276,-719.019,464.842,0.062
August2013,woodshaving,small,acpa3,NA,NA,NA,NA,NA,NA,acpa3,65,2/09/16,210.00,JPR-RP13-S-65,22.7,1.97,1.34,16.8,13.2,2,G1,10,yes,8,-1936.27,1838.526,128.415,37.537,1232.135,6184.733,16.789,1335.708,3.714,8.899,594.377,-630.259,844.903,-0.014
August2013,woodshaving,small,lepa2,NA,NA,NA,NA,NA,NA,lepa2,66,2/09/16,196.00,JPR-RP13-S-66,9.3,2.14,1,0.0,30.0,2,H1,9.3,yes,10,-81.314,855.558,134.522,88.474,536.126,2082.705,88.324,873.11,5.298,11.845,368.955,68.229,1228.862,0.049
August2013,woodshaving,small,basp,NA,NA,NA,NA,NA,NA,basp,67,15/09/16,540.00,JPR-RP13-S-67,8.9,2.14,1.46,0.0,30.0,2,A2,8.9,yes,6,1165.099,236.534,261.141,95.894,1006.151,893.499,189.631,4932.894,5.262,5.359,648.016,-546.284,3086.471,0.054
August2013,woodshaving,small,jasc1,NA,NA,NA,NA,NA,NA,jasc1,68,2/09/16,215.00,JPR-RP13-S-68,30.2,1.94,1.36,20.1,9.9,2,B2,10,yes,3,1073.161,238.486,156.589,59.078,1186.167,1064.644,128.565,3221.096,4.76,29.703,495.084,-364.526,1022.902,0.126
August2014,woodshaving,NA,blank,NA,NA,NA,NA,NA,NA,blank,blank,2/09/16,0.00,JPR-RP13-S-64,-0.4,0.52,-0.28,0.0,30.0,2,C2,-0.4,,,,,,,,,,,,,,,,
